#Coverage (X)	Coverage
1.0	99.1123051088232
2.0	97.28368719362052
3.0	93.69180409316198
4.0	88.28247350006437
5.0	81.19044789034889
6.0	73.04325330742805
7.0	64.13006221464732
8.0	55.15015293525885
9.0	46.53144807090175
10.0	38.632305964290026
11.0	31.64721370753975
12.0	25.61344991262311
13.0	20.4672000447475
14.0	16.19224313683233
15.0	12.691286288964363
16.0	9.933549146774666
17.0	7.706489332781118
18.0	5.958441586216452
19.0	4.597944987725285
20.0	3.55313209847246
21.0	2.7652389281823275
22.0	2.1788822256614537
23.0	1.7266281734014797
24.0	1.3844661208404432
25.0	1.128064617357495
26.0	0.9441639271849596
27.0	0.8046899323481966
28.0	0.7013182826009938
29.0	0.6261359098239154
30.0	0.5670593451319093
31.0	0.5164140640390826
32.0	0.4786912673699675
33.0	0.45296145751802896
34.0	0.43201074597938316
35.0	0.4143831940251914
36.0	0.4000458990853133
37.0	0.38760872757120524
38.0	0.37694829484482284
39.0	0.3670939750869593
40.0	0.35862156327510775
41.0	0.3507002695131405
42.0	0.3439223400636564
43.0	0.33730069782234295
44.0	0.3317401634681545
45.0	0.325941085480423
46.0	0.3199034638591627
47.0	0.3139398730207148
48.0	0.3089386823589564
49.0	0.30328766593687817
50.0	0.2978093880080479
51.0	0.29346624874915506
