#Insert size (bp)	insert size
147.0	3.0
149.0	1.0
150.0	4.0
151.0	1338.0
152.0	2714.0
153.0	2591.0
154.0	2748.0
155.0	2737.0
156.0	2723.0
157.0	2653.0
158.0	2602.0
159.0	2658.0
160.0	2655.0
161.0	2694.0
162.0	2554.0
163.0	2677.0
164.0	2612.0
165.0	2539.0
166.0	2602.0
167.0	2680.0
168.0	2592.0
169.0	2643.0
170.0	2581.0
171.0	2538.0
172.0	2511.0
173.0	2496.0
174.0	2576.0
175.0	2479.0
176.0	2531.0
177.0	2514.0
178.0	2541.0
179.0	2478.0
180.0	2372.0
181.0	2390.0
182.0	2349.0
183.0	2519.0
184.0	2343.0
185.0	2422.0
186.0	2326.0
187.0	2437.0
188.0	2408.0
189.0	2295.0
190.0	2252.0
191.0	2353.0
192.0	2299.0
193.0	2294.0
194.0	2165.0
195.0	2319.0
196.0	2275.0
197.0	2188.0
198.0	2243.0
199.0	2213.0
200.0	2267.0
201.0	2224.0
202.0	2259.0
203.0	2104.0
204.0	2115.0
205.0	2133.0
206.0	2103.0
207.0	2132.0
208.0	2068.0
209.0	2153.0
210.0	1986.0
211.0	2000.0
212.0	1950.0
213.0	1956.0
214.0	1976.0
215.0	1879.0
216.0	1908.0
217.0	1907.0
218.0	1957.0
219.0	1907.0
220.0	1950.0
221.0	1891.0
222.0	1932.0
223.0	1770.0
224.0	1814.0
225.0	1843.0
226.0	1706.0
227.0	1789.0
228.0	1722.0
229.0	1735.0
230.0	1727.0
231.0	1720.0
232.0	1744.0
233.0	1659.0
234.0	1624.0
235.0	1614.0
236.0	1563.0
237.0	1593.0
238.0	1566.0
239.0	1662.0
240.0	1624.0
241.0	1602.0
242.0	1561.0
243.0	1568.0
244.0	1490.0
245.0	1575.0
246.0	1435.0
247.0	1384.0
248.0	1492.0
249.0	1382.0
250.0	1411.0
251.0	1441.0
252.0	1449.0
253.0	1433.0
254.0	1369.0
255.0	1353.0
256.0	1379.0
257.0	1283.0
258.0	1324.0
259.0	1302.0
260.0	1263.0
261.0	1242.0
262.0	1314.0
263.0	1263.0
264.0	1212.0
265.0	1248.0
266.0	1180.0
267.0	1198.0
268.0	1192.0
269.0	1186.0
270.0	1134.0
271.0	1086.0
272.0	1154.0
273.0	1116.0
274.0	1093.0
275.0	1115.0
276.0	1077.0
277.0	1062.0
278.0	1040.0
279.0	1066.0
280.0	1089.0
281.0	1033.0
282.0	979.0
283.0	961.0
284.0	1017.0
285.0	1034.0
286.0	1010.0
287.0	999.0
288.0	1016.0
289.0	1012.0
290.0	1006.0
291.0	1074.0
292.0	976.0
293.0	1001.0
294.0	961.0
295.0	948.0
296.0	952.0
297.0	943.0
298.0	985.0
299.0	940.0
300.0	918.0
301.0	875.0
302.0	914.0
303.0	874.0
304.0	946.0
305.0	861.0
306.0	941.0
307.0	891.0
308.0	850.0
309.0	854.0
310.0	839.0
311.0	861.0
312.0	791.0
313.0	874.0
314.0	889.0
315.0	786.0
316.0	860.0
317.0	792.0
318.0	859.0
319.0	812.0
320.0	800.0
321.0	777.0
322.0	747.0
323.0	790.0
324.0	850.0
325.0	779.0
326.0	780.0
327.0	798.0
328.0	810.0
329.0	782.0
330.0	736.0
331.0	758.0
332.0	755.0
333.0	738.0
334.0	743.0
335.0	730.0
336.0	749.0
337.0	706.0
338.0	716.0
339.0	761.0
340.0	722.0
341.0	666.0
342.0	672.0
343.0	676.0
344.0	668.0
345.0	677.0
346.0	651.0
347.0	695.0
348.0	678.0
349.0	722.0
350.0	700.0
351.0	666.0
352.0	650.0
353.0	611.0
354.0	608.0
355.0	628.0
356.0	660.0
357.0	617.0
358.0	581.0
359.0	647.0
360.0	618.0
361.0	586.0
362.0	639.0
363.0	635.0
364.0	612.0
365.0	597.0
366.0	659.0
367.0	585.0
368.0	597.0
369.0	553.0
370.0	556.0
371.0	567.0
372.0	577.0
373.0	583.0
374.0	569.0
375.0	540.0
376.0	569.0
377.0	565.0
378.0	513.0
379.0	542.0
380.0	544.0
381.0	505.0
382.0	525.0
383.0	554.0
384.0	552.0
385.0	492.0
386.0	502.0
387.0	493.0
388.0	506.0
389.0	478.0
390.0	493.0
391.0	476.0
392.0	471.0
393.0	459.0
394.0	501.0
395.0	535.0
396.0	478.0
397.0	479.0
398.0	449.0
399.0	436.0
400.0	480.0
401.0	437.0
402.0	438.0
403.0	482.0
404.0	438.0
405.0	460.0
406.0	432.0
407.0	404.0
408.0	451.0
409.0	464.0
410.0	405.0
411.0	424.0
412.0	453.0
413.0	409.0
414.0	394.0
415.0	411.0
416.0	422.0
417.0	416.0
418.0	390.0
419.0	434.0
420.0	465.0
421.0	389.0
422.0	380.0
423.0	389.0
424.0	421.0
425.0	330.0
426.0	400.0
427.0	394.0
428.0	391.0
429.0	354.0
430.0	353.0
431.0	341.0
432.0	387.0
433.0	365.0
434.0	335.0
435.0	340.0
436.0	363.0
437.0	352.0
438.0	343.0
439.0	331.0
440.0	343.0
441.0	384.0
442.0	327.0
443.0	322.0
444.0	355.0
445.0	340.0
446.0	298.0
447.0	356.0
448.0	297.0
449.0	347.0
450.0	315.0
451.0	283.0
452.0	314.0
453.0	313.0
454.0	334.0
455.0	317.0
456.0	312.0
457.0	331.0
458.0	319.0
459.0	307.0
460.0	304.0
461.0	266.0
462.0	310.0
463.0	289.0
464.0	300.0
465.0	281.0
466.0	284.0
467.0	259.0
468.0	291.0
469.0	254.0
470.0	245.0
471.0	255.0
472.0	278.0
473.0	258.0
474.0	259.0
475.0	255.0
476.0	270.0
477.0	245.0
478.0	248.0
479.0	271.0
480.0	241.0
481.0	265.0
482.0	264.0
483.0	236.0
484.0	276.0
485.0	235.0
486.0	217.0
487.0	256.0
488.0	214.0
489.0	219.0
490.0	199.0
491.0	231.0
492.0	224.0
493.0	232.0
494.0	216.0
495.0	213.0
496.0	204.0
497.0	216.0
498.0	227.0
499.0	174.0
500.0	203.0
501.0	214.0
502.0	240.0
503.0	194.0
504.0	194.0
505.0	218.0
506.0	190.0
507.0	208.0
508.0	191.0
509.0	210.0
510.0	184.0
511.0	176.0
512.0	193.0
513.0	191.0
514.0	200.0
515.0	184.0
516.0	204.0
517.0	165.0
518.0	176.0
519.0	181.0
520.0	208.0
521.0	177.0
522.0	185.0
523.0	205.0
524.0	187.0
525.0	167.0
526.0	152.0
527.0	176.0
528.0	166.0
529.0	146.0
530.0	170.0
531.0	194.0
532.0	146.0
533.0	178.0
534.0	176.0
535.0	173.0
536.0	163.0
537.0	157.0
538.0	141.0
539.0	188.0
540.0	149.0
541.0	150.0
542.0	159.0
543.0	163.0
544.0	178.0
545.0	149.0
546.0	157.0
547.0	174.0
548.0	137.0
549.0	132.0
550.0	142.0
551.0	146.0
552.0	119.0
553.0	143.0
554.0	144.0
555.0	124.0
556.0	119.0
557.0	133.0
558.0	105.0
559.0	137.0
560.0	131.0
561.0	124.0
562.0	142.0
563.0	129.0
564.0	132.0
565.0	114.0
566.0	127.0
567.0	122.0
568.0	136.0
569.0	112.0
570.0	113.0
571.0	102.0
572.0	123.0
573.0	115.0
574.0	147.0
575.0	110.0
576.0	125.0
577.0	110.0
578.0	113.0
579.0	108.0
580.0	105.0
581.0	102.0
582.0	101.0
583.0	100.0
584.0	101.0
585.0	105.0
586.0	116.0
587.0	103.0
588.0	104.0
589.0	104.0
590.0	102.0
591.0	115.0
592.0	108.0
593.0	108.0
594.0	98.0
595.0	108.0
596.0	88.0
597.0	87.0
598.0	108.0
599.0	112.0
600.0	100.0
601.0	79.0
602.0	103.0
603.0	79.0
604.0	88.0
605.0	83.0
606.0	87.0
607.0	102.0
608.0	80.0
609.0	88.0
610.0	95.0
611.0	88.0
612.0	87.0
613.0	81.0
614.0	93.0
615.0	94.0
616.0	94.0
617.0	76.0
618.0	76.0
619.0	89.0
620.0	73.0
621.0	80.0
622.0	84.0
623.0	73.0
624.0	87.0
625.0	74.0
626.0	77.0
627.0	78.0
628.0	80.0
629.0	56.0
630.0	63.0
631.0	87.0
632.0	68.0
633.0	76.0
634.0	69.0
635.0	76.0
636.0	63.0
637.0	77.0
638.0	77.0
639.0	71.0
640.0	67.0
641.0	56.0
642.0	68.0
643.0	65.0
644.0	58.0
645.0	66.0
646.0	69.0
647.0	67.0
648.0	70.0
649.0	68.0
650.0	48.0
651.0	50.0
652.0	63.0
653.0	73.0
654.0	52.0
655.0	70.0
656.0	45.0
657.0	75.0
658.0	49.0
659.0	54.0
660.0	41.0
