#Mapping quality	mapping quality
0.0	60534.0
1.0	323310.0
2.0	33538.0
3.0	27546.0
4.0	21888.0
5.0	17155.0
6.0	19963.0
7.0	19144.0
8.0	19046.0
9.0	23236.0
10.0	13899.0
11.0	53190.0
12.0	12573.0
13.0	11529.0
14.0	11589.0
15.0	11145.0
16.0	11709.0
17.0	10800.0
18.0	10960.0
19.0	12262.0
20.0	11860.0
21.0	15095.0
22.0	16160.0
23.0	15455.0
24.0	16963.0
25.0	16609.0
26.0	18545.0
27.0	19043.0
28.0	20239.0
29.0	22168.0
30.0	20583.0
31.0	19560.0
32.0	21533.0
33.0	33461.0
34.0	33099.0
35.0	36226.0
36.0	74175.0
37.0	83061.0
38.0	115701.0
39.0	152471.0
40.0	291640.0
41.0	314854.0
42.0	560685.0
43.0	1630481.0
44.0	7764504.0
