#Duplication rate	Coverage
1.0	651008.0
2.0	581554.0
3.0	103830.0
4.0	134181.0
5.0	31766.0
6.0	40667.0
7.0	12330.0
8.0	14970.0
9.0	5467.0
10.0	6435.0
11.0	2770.0
12.0	3111.0
13.0	1510.0
14.0	1540.0
15.0	839.0
16.0	934.0
17.0	495.0
18.0	519.0
19.0	357.0
20.0	337.0
21.0	221.0
22.0	243.0
23.0	178.0
24.0	158.0
25.0	111.0
26.0	110.0
27.0	88.0
28.0	74.0
29.0	71.0
30.0	61.0
31.0	45.0
32.0	47.0
33.0	51.0
34.0	36.0
35.0	25.0
36.0	34.0
37.0	24.0
38.0	30.0
39.0	21.0
40.0	33.0
41.0	21.0
42.0	24.0
43.0	19.0
44.0	23.0
45.0	19.0
46.0	22.0
47.0	14.0
48.0	24.0
49.0	15.0
50.0	347.0
