#Insert size (bp)	insert size
144.0	1.0
145.0	1.0
146.0	1.0
147.0	1.0
148.0	2.0
149.0	5.0
150.0	15.0
151.0	6853.0
152.0	13392.0
153.0	13437.0
154.0	13680.0
155.0	13764.0
156.0	13489.0
157.0	13464.0
158.0	13796.0
159.0	13481.0
160.0	13580.0
161.0	13558.0
162.0	13554.0
163.0	13577.0
164.0	13816.0
165.0	13540.0
166.0	13594.0
167.0	13813.0
168.0	13701.0
169.0	13829.0
170.0	13903.0
171.0	13890.0
172.0	13942.0
173.0	13990.0
174.0	13876.0
175.0	14114.0
176.0	14084.0
177.0	13991.0
178.0	14151.0
179.0	14295.0
180.0	14339.0
181.0	14477.0
182.0	14384.0
183.0	14168.0
184.0	14454.0
185.0	14720.0
186.0	14694.0
187.0	14800.0
188.0	14502.0
189.0	14531.0
190.0	14727.0
191.0	15082.0
192.0	15300.0
193.0	15019.0
194.0	14861.0
195.0	15215.0
196.0	15118.0
197.0	15469.0
198.0	15587.0
199.0	15164.0
200.0	15575.0
201.0	15577.0
202.0	15775.0
203.0	15814.0
204.0	15886.0
205.0	15342.0
206.0	16246.0
207.0	15836.0
208.0	16064.0
209.0	16225.0
210.0	16318.0
211.0	16519.0
212.0	16331.0
213.0	16430.0
214.0	16155.0
215.0	15981.0
216.0	16123.0
217.0	16252.0
218.0	16193.0
219.0	16612.0
220.0	16650.0
221.0	16659.0
222.0	16614.0
223.0	16587.0
224.0	16438.0
225.0	16370.0
226.0	15933.0
227.0	16426.0
228.0	16046.0
229.0	15879.0
230.0	16363.0
231.0	16312.0
232.0	15909.0
233.0	16235.0
234.0	15898.0
235.0	15688.0
236.0	15514.0
237.0	15706.0
238.0	15722.0
239.0	15302.0
240.0	15616.0
241.0	15461.0
242.0	15327.0
243.0	15222.0
244.0	14689.0
245.0	14944.0
246.0	14334.0
247.0	13842.0
248.0	14369.0
249.0	13925.0
250.0	13694.0
251.0	13772.0
252.0	13382.0
253.0	13382.0
254.0	12898.0
255.0	12815.0
256.0	12242.0
257.0	11529.0
258.0	11912.0
259.0	11471.0
260.0	10474.0
261.0	10407.0
262.0	10668.0
263.0	10034.0
264.0	9236.0
265.0	7753.0
266.0	5789.0
267.0	4001.0
268.0	3125.0
269.0	3037.0
270.0	2868.0
271.0	2582.0
272.0	2228.0
273.0	1132.0
274.0	1135.0
275.0	1044.0
276.0	1100.0
277.0	1060.0
278.0	1091.0
279.0	970.0
280.0	1035.0
281.0	1004.0
282.0	993.0
283.0	1032.0
284.0	965.0
285.0	972.0
286.0	962.0
287.0	935.0
288.0	864.0
289.0	898.0
290.0	898.0
291.0	888.0
292.0	924.0
293.0	911.0
294.0	867.0
295.0	824.0
296.0	811.0
297.0	773.0
298.0	780.0
299.0	782.0
300.0	772.0
301.0	776.0
302.0	715.0
303.0	736.0
304.0	698.0
305.0	707.0
306.0	674.0
307.0	665.0
308.0	659.0
309.0	705.0
310.0	646.0
311.0	646.0
312.0	615.0
313.0	602.0
314.0	630.0
315.0	618.0
316.0	620.0
317.0	563.0
318.0	532.0
319.0	605.0
320.0	571.0
321.0	556.0
322.0	533.0
323.0	576.0
324.0	558.0
325.0	536.0
326.0	499.0
327.0	551.0
328.0	527.0
329.0	490.0
330.0	483.0
331.0	453.0
332.0	488.0
333.0	510.0
334.0	450.0
335.0	484.0
336.0	470.0
337.0	441.0
338.0	430.0
339.0	419.0
340.0	427.0
341.0	440.0
342.0	418.0
343.0	417.0
344.0	410.0
345.0	357.0
346.0	418.0
347.0	370.0
348.0	376.0
349.0	373.0
350.0	406.0
351.0	359.0
352.0	390.0
353.0	323.0
354.0	380.0
355.0	362.0
356.0	363.0
357.0	310.0
358.0	343.0
359.0	309.0
360.0	323.0
361.0	314.0
362.0	303.0
363.0	321.0
364.0	290.0
365.0	317.0
366.0	303.0
367.0	251.0
368.0	286.0
369.0	315.0
370.0	268.0
371.0	281.0
372.0	254.0
373.0	284.0
374.0	263.0
375.0	240.0
376.0	239.0
377.0	246.0
378.0	275.0
379.0	267.0
380.0	249.0
381.0	207.0
382.0	234.0
383.0	247.0
384.0	228.0
385.0	214.0
386.0	232.0
387.0	198.0
388.0	215.0
389.0	217.0
390.0	198.0
391.0	210.0
392.0	227.0
393.0	206.0
394.0	204.0
395.0	190.0
396.0	212.0
397.0	203.0
398.0	210.0
399.0	201.0
400.0	201.0
401.0	171.0
402.0	185.0
403.0	184.0
404.0	183.0
405.0	177.0
406.0	170.0
407.0	176.0
408.0	163.0
409.0	175.0
410.0	157.0
411.0	155.0
412.0	149.0
413.0	183.0
414.0	130.0
415.0	113.0
416.0	162.0
417.0	150.0
418.0	152.0
419.0	133.0
420.0	118.0
421.0	129.0
422.0	137.0
423.0	126.0
424.0	136.0
425.0	129.0
426.0	129.0
427.0	130.0
428.0	119.0
429.0	114.0
430.0	121.0
431.0	123.0
432.0	130.0
433.0	104.0
434.0	90.0
435.0	122.0
436.0	105.0
437.0	112.0
438.0	99.0
439.0	116.0
440.0	97.0
441.0	91.0
442.0	93.0
443.0	106.0
444.0	114.0
445.0	107.0
446.0	77.0
447.0	108.0
448.0	83.0
449.0	100.0
450.0	96.0
451.0	105.0
452.0	92.0
453.0	96.0
454.0	77.0
455.0	77.0
456.0	72.0
457.0	56.0
458.0	77.0
459.0	90.0
460.0	89.0
461.0	69.0
462.0	71.0
463.0	62.0
464.0	68.0
465.0	92.0
466.0	72.0
467.0	81.0
468.0	64.0
469.0	57.0
470.0	66.0
471.0	67.0
472.0	67.0
473.0	72.0
474.0	60.0
475.0	59.0
476.0	65.0
477.0	56.0
478.0	63.0
