#GC Content (%)	Sample
1.0	0.0
2.0	0.0
3.0	0.0
4.0	0.0
5.0	0.0
6.0	0.0
7.0	0.0
8.0	0.0
9.0	0.0
10.0	0.0
11.0	0.0
12.0	0.0
13.0	2.6071744225760446E-6
14.0	0.0
15.0	0.0
16.0	0.0
17.0	0.0
18.0	0.0
19.0	5.214348845152089E-6
20.0	2.6071744225760446E-6
21.0	2.6071744225760446E-6
22.0	0.0
23.0	7.821523267728133E-6
24.0	7.821523267728133E-6
25.0	1.0428697690304179E-5
26.0	7.821523267728133E-6
27.0	0.0
28.0	7.821523267728133E-6
29.0	1.5643046535456267E-5
30.0	1.0428697690304179E-5
31.0	3.650044191606462E-5
32.0	9.385827921273759E-5
33.0	2.190026514963877E-4
34.0	7.821523267728134E-4
35.0	0.002753176190240303
36.0	0.007214051627267917
37.0	0.016331340583016347
38.0	0.029742645812747517
39.0	0.047883365445031634
40.0	0.0672390283582362
41.0	0.08515031664133364
42.0	0.09663231279835852
43.0	0.1024697763305063
44.0	0.09895791238329635
45.0	0.09194461318656681
46.0	0.07934674637667936
47.0	0.06706434767192361
48.0	0.05385379487273078
49.0	0.04204590191288387
50.0	0.032501036351832976
51.0	0.026264675133031073
52.0	0.015468365849143672
53.0	0.011922608634440253
54.0	0.00807441918671801
55.0	0.005501138031635454
56.0	0.0035014352495196287
57.0	0.0023699215501216246
58.0	0.0013609450485846952
59.0	8.76010605985551E-4
60.0	7.013299196729561E-4
61.0	4.7450574490884013E-4
62.0	3.3111115166715766E-4
63.0	2.2160982591896378E-4
64.0	1.3557306997395428E-4
65.0	7.560805825470528E-5
66.0	5.214348845152088E-5
67.0	5.214348845152088E-5
68.0	2.607174422576044E-5
69.0	3.389326749348858E-5
70.0	2.3464569803184404E-5
71.0	1.8250220958032314E-5
72.0	7.821523267728133E-6
73.0	2.6071744225760444E-5
74.0	1.5643046535456267E-5
75.0	1.3035872112880224E-5
76.0	2.6071744225760446E-6
77.0	7.821523267728133E-6
78.0	1.3035872112880224E-5
79.0	2.6071744225760446E-6
80.0	5.214348845152089E-6
81.0	7.821523267728133E-6
82.0	0.0
83.0	7.821523267728133E-6
84.0	5.214348845152089E-6
85.0	0.0
86.0	2.6071744225760446E-6
87.0	0.0
88.0	2.6071744225760446E-6
89.0	0.0
90.0	2.6071744225760446E-6
91.0	0.0
92.0	2.6071744225760446E-6
93.0	2.6071744225760446E-6
94.0	0.0
95.0	5.214348845152089E-6
96.0	0.0
97.0	2.6071744225760446E-6
98.0	0.0
99.0	0.0
100.0	3.650044191606463E-5
