#Mapping quality	mapping quality
0.0	393466.0
1.0	78474.0
2.0	33260.0
3.0	23699.0
4.0	21724.0
5.0	20689.0
6.0	21601.0
7.0	24061.0
8.0	25803.0
9.0	26745.0
10.0	19841.0
11.0	23687.0
12.0	17044.0
13.0	14643.0
14.0	15883.0
15.0	15269.0
16.0	15848.0
17.0	17635.0
18.0	17293.0
19.0	17225.0
20.0	16740.0
21.0	18152.0
22.0	154511.0
23.0	46820.0
24.0	77997.0
25.0	68100.0
26.0	87058.0
27.0	91320.0
28.0	143651.0
29.0	176928.0
30.0	192381.0
31.0	224433.0
32.0	310495.0
33.0	416396.0
34.0	529519.0
35.0	638780.0
36.0	896277.0
37.0	1005337.0
38.0	1208734.0
39.0	1208093.0
40.0	1172107.0
41.0	875750.0
42.0	575405.0
43.0	336876.0
44.0	401054.0
