#Duplication rate	Coverage
1.0	1147438.0
2.0	821870.0
3.0	304230.0
4.0	249602.0
5.0	120688.0
6.0	98148.0
7.0	55671.0
8.0	45802.0
9.0	29023.0
10.0	23511.0
11.0	15891.0
12.0	13492.0
13.0	9569.0
14.0	8030.0
15.0	6013.0
16.0	5111.0
17.0	3864.0
18.0	3454.0
19.0	2666.0
20.0	2350.0
21.0	1802.0
22.0	1648.0
23.0	1312.0
24.0	1190.0
25.0	955.0
26.0	910.0
27.0	745.0
28.0	715.0
29.0	563.0
30.0	494.0
31.0	453.0
32.0	458.0
33.0	364.0
34.0	343.0
35.0	312.0
36.0	280.0
37.0	255.0
38.0	247.0
39.0	223.0
40.0	193.0
41.0	222.0
42.0	148.0
43.0	154.0
44.0	165.0
45.0	136.0
46.0	128.0
47.0	120.0
48.0	106.0
49.0	121.0
50.0	3504.0
