#Insert size (bp)	insert size
141.0	2.0
142.0	6.0
143.0	6.0
144.0	2.0
145.0	3.0
146.0	14.0
147.0	5.0
148.0	20.0
149.0	16.0
150.0	40.0
151.0	22490.0
152.0	43696.0
153.0	43519.0
154.0	43705.0
155.0	43880.0
156.0	43776.0
157.0	43993.0
158.0	43729.0
159.0	43634.0
160.0	43022.0
161.0	42675.0
162.0	42942.0
163.0	43117.0
164.0	43273.0
165.0	42732.0
166.0	43219.0
167.0	43333.0
168.0	42976.0
169.0	43453.0
170.0	42461.0
171.0	42807.0
172.0	42162.0
173.0	41859.0
174.0	41556.0
175.0	41627.0
176.0	41728.0
177.0	41882.0
178.0	41814.0
179.0	42287.0
180.0	41709.0
181.0	40789.0
182.0	40575.0
183.0	40335.0
184.0	40670.0
185.0	39862.0
186.0	40513.0
187.0	40017.0
188.0	39915.0
189.0	40272.0
190.0	40068.0
191.0	39450.0
192.0	39065.0
193.0	38545.0
194.0	38042.0
195.0	37821.0
196.0	38011.0
197.0	37986.0
198.0	37874.0
199.0	37279.0
200.0	37841.0
201.0	37478.0
202.0	36372.0
203.0	36195.0
204.0	35639.0
205.0	34997.0
206.0	35361.0
207.0	35211.0
208.0	34938.0
209.0	35205.0
210.0	35063.0
211.0	35008.0
212.0	34709.0
213.0	34254.0
214.0	33361.0
215.0	32594.0
216.0	31934.0
217.0	31745.0
218.0	31804.0
219.0	32591.0
220.0	32146.0
221.0	31857.0
222.0	31750.0
223.0	30921.0
224.0	30312.0
225.0	30040.0
226.0	29131.0
227.0	28639.0
228.0	28625.0
229.0	28931.0
230.0	28837.0
231.0	28733.0
232.0	28452.0
233.0	28013.0
234.0	27135.0
235.0	26878.0
236.0	25988.0
237.0	25391.0
238.0	25145.0
239.0	25261.0
240.0	25083.0
241.0	25351.0
242.0	25423.0
243.0	25399.0
244.0	24492.0
245.0	23666.0
246.0	23213.0
247.0	22910.0
248.0	22112.0
249.0	21804.0
250.0	22137.0
251.0	21998.0
252.0	21872.0
253.0	21928.0
254.0	21119.0
255.0	20932.0
256.0	20122.0
257.0	19630.0
258.0	18818.0
259.0	18373.0
260.0	18191.0
261.0	18124.0
262.0	17954.0
263.0	17577.0
264.0	16973.0
265.0	15621.0
266.0	13165.0
267.0	10764.0
268.0	9377.0
269.0	8972.0
270.0	8565.0
271.0	8495.0
272.0	7761.0
273.0	5953.0
274.0	5806.0
275.0	5730.0
276.0	5617.0
277.0	5485.0
278.0	5556.0
279.0	5442.0
280.0	5441.0
281.0	5369.0
282.0	5174.0
283.0	5224.0
284.0	5029.0
285.0	4925.0
286.0	4949.0
287.0	4864.0
288.0	4763.0
289.0	4889.0
290.0	4682.0
291.0	4744.0
292.0	4521.0
293.0	4409.0
294.0	4422.0
295.0	4382.0
296.0	4526.0
297.0	4342.0
298.0	4221.0
299.0	4064.0
300.0	4136.0
301.0	4146.0
302.0	4055.0
303.0	4023.0
304.0	3794.0
305.0	3915.0
306.0	3688.0
307.0	3803.0
308.0	3566.0
309.0	3643.0
310.0	3599.0
311.0	3445.0
312.0	3498.0
313.0	3508.0
314.0	3365.0
315.0	3212.0
316.0	3394.0
317.0	3319.0
318.0	3240.0
319.0	3168.0
320.0	3206.0
321.0	3098.0
322.0	3160.0
323.0	2952.0
324.0	2928.0
325.0	3027.0
326.0	2952.0
327.0	3035.0
328.0	2814.0
329.0	2975.0
330.0	2889.0
331.0	2770.0
332.0	2673.0
333.0	2702.0
334.0	2561.0
335.0	2594.0
336.0	2625.0
337.0	2616.0
338.0	2405.0
339.0	2475.0
340.0	2511.0
341.0	2391.0
342.0	2403.0
343.0	2461.0
344.0	2280.0
345.0	2256.0
346.0	2169.0
347.0	2251.0
348.0	2223.0
349.0	2179.0
350.0	2187.0
351.0	2175.0
352.0	2134.0
353.0	1974.0
354.0	2040.0
355.0	2061.0
356.0	2055.0
357.0	2024.0
358.0	1878.0
359.0	1913.0
360.0	1893.0
361.0	1892.0
362.0	1911.0
363.0	1887.0
364.0	1860.0
365.0	1726.0
366.0	1749.0
367.0	1717.0
368.0	1717.0
369.0	1710.0
370.0	1635.0
371.0	1660.0
372.0	1546.0
373.0	1579.0
374.0	1587.0
375.0	1509.0
376.0	1588.0
377.0	1423.0
378.0	1478.0
379.0	1460.0
380.0	1426.0
381.0	1382.0
382.0	1426.0
383.0	1342.0
384.0	1366.0
385.0	1416.0
386.0	1403.0
387.0	1303.0
388.0	1302.0
389.0	1274.0
390.0	1308.0
391.0	1331.0
392.0	1271.0
393.0	1275.0
394.0	1240.0
395.0	1202.0
396.0	1167.0
397.0	1133.0
398.0	1125.0
399.0	1136.0
400.0	1102.0
401.0	1124.0
402.0	1093.0
403.0	1084.0
404.0	1064.0
405.0	1066.0
406.0	1063.0
407.0	1047.0
408.0	1035.0
409.0	1037.0
410.0	995.0
411.0	1004.0
412.0	922.0
413.0	978.0
414.0	922.0
415.0	920.0
416.0	882.0
417.0	958.0
418.0	946.0
419.0	947.0
420.0	844.0
421.0	882.0
422.0	842.0
423.0	844.0
424.0	872.0
425.0	754.0
426.0	803.0
427.0	827.0
428.0	755.0
429.0	787.0
430.0	768.0
431.0	753.0
432.0	698.0
433.0	738.0
434.0	716.0
435.0	694.0
436.0	693.0
437.0	680.0
438.0	658.0
439.0	688.0
440.0	690.0
441.0	703.0
442.0	668.0
443.0	679.0
444.0	633.0
445.0	596.0
446.0	589.0
447.0	605.0
448.0	543.0
449.0	620.0
450.0	596.0
451.0	594.0
452.0	618.0
453.0	564.0
454.0	574.0
455.0	536.0
456.0	551.0
457.0	516.0
458.0	471.0
459.0	556.0
460.0	559.0
461.0	512.0
462.0	481.0
463.0	496.0
464.0	494.0
465.0	447.0
466.0	477.0
467.0	519.0
468.0	475.0
469.0	465.0
470.0	444.0
471.0	479.0
472.0	439.0
473.0	432.0
474.0	422.0
475.0	428.0
476.0	402.0
477.0	416.0
478.0	415.0
