#GC Content (%)	Sample
1.0	0.0
2.0	0.0
3.0	0.0
4.0	0.0
5.0	0.0
6.0	0.0
7.0	0.0
8.0	9.064227301815202E-7
9.0	0.0
10.0	9.064227301815202E-7
11.0	0.0
12.0	9.064227301815202E-7
13.0	0.0
14.0	0.0
15.0	9.064227301815202E-7
16.0	9.064227301815202E-7
17.0	2.7192681905445604E-6
18.0	0.0
19.0	1.8128454603630404E-6
20.0	3.625690920726081E-6
21.0	0.0
22.0	9.064227301815202E-7
23.0	9.064227301815203E-6
24.0	3.625690920726081E-6
25.0	9.970650031996723E-6
26.0	6.344959111270641E-6
27.0	1.7222031873448886E-5
28.0	1.2689918222541284E-5
29.0	1.2689918222541284E-5
30.0	2.719268190544561E-5
31.0	6.163674565234337E-5
32.0	2.1572860978320182E-4
33.0	8.72885089164804E-4
34.0	0.00258783689466824
35.0	0.0063286435021273745
36.0	0.01332622697912871
37.0	0.02374918195348601
38.0	0.037119823646393615
39.0	0.05257523761871872
40.0	0.06791734874977112
41.0	0.0803625328351634
42.0	0.08925453981824412
43.0	0.09315125113529449
44.0	0.09215781182301551
45.0	0.08547656987884754
46.0	0.0764195939588738
47.0	0.06504670796328625
48.0	0.053493443844392585
49.0	0.042864730910284095
50.0	0.034350702205689074
51.0	0.029573854417632463
52.0	0.016762475549246855
53.0	0.012344571162342123
54.0	0.00804268888490063
55.0	0.004955413065902371
56.0	0.0032984723151305516
57.0	0.0021409704886887508
58.0	0.001326096454255564
59.0	9.499310212302331E-4
60.0	6.98851924969952E-4
61.0	5.565435563314535E-4
62.0	4.804040469962058E-4
63.0	3.4715990565952224E-4
64.0	1.9850657790975292E-4
65.0	1.577175550515845E-4
66.0	1.0967715035196397E-4
67.0	1.1058357308214547E-4
68.0	7.160739568434009E-5
69.0	7.342024114470314E-5
70.0	4.260186831853145E-5
71.0	4.622755923925753E-5
72.0	3.1724795556353206E-5
73.0	3.716333193744233E-5
74.0	3.4444063746897766E-5
75.0	2.3566990984719528E-5
76.0	1.903487733381192E-5
77.0	1.9034877333811927E-5
78.0	8.157804571633682E-6
79.0	9.970650031996723E-6
80.0	1.1783495492359764E-5
81.0	9.064227301815203E-6
82.0	1.0877072762178243E-5
83.0	3.625690920726081E-6
84.0	3.625690920726081E-6
85.0	5.438536381089122E-6
86.0	2.7192681905445604E-6
87.0	4.532113650907601E-6
88.0	3.625690920726081E-6
89.0	3.625690920726081E-6
90.0	1.8128454603630404E-6
91.0	2.7192681905445604E-6
92.0	9.064227301815202E-7
93.0	0.0
94.0	0.0
95.0	9.064227301815202E-7
96.0	9.064227301815202E-7
97.0	1.8128454603630404E-6
98.0	9.064227301815202E-7
99.0	0.0
100.0	1.5409186413085842E-5
