#Mapping quality	mapping quality
0.0	348019.0
1.0	97343.0
2.0	35346.0
3.0	23870.0
4.0	21690.0
5.0	20269.0
6.0	20163.0
7.0	19375.0
8.0	21902.0
9.0	27775.0
10.0	27350.0
11.0	25654.0
12.0	17568.0
13.0	15630.0
14.0	15145.0
15.0	13930.0
16.0	13245.0
17.0	15767.0
18.0	16343.0
19.0	17494.0
20.0	17953.0
21.0	20012.0
22.0	88348.0
23.0	33564.0
24.0	46594.0
25.0	41594.0
26.0	50518.0
27.0	46074.0
28.0	67750.0
29.0	91698.0
30.0	77746.0
31.0	81448.0
32.0	106729.0
33.0	152284.0
34.0	179143.0
35.0	223035.0
36.0	340969.0
37.0	439099.0
38.0	673703.0
39.0	994161.0
40.0	1616732.0
41.0	2270549.0
42.0	2118673.0
43.0	727197.0
44.0	528498.0
