#Duplication rate	Coverage
1.0	1208063.0
2.0	920236.0
3.0	336330.0
4.0	291909.0
5.0	137013.0
6.0	117046.0
7.0	65458.0
8.0	55749.0
9.0	34565.0
10.0	29226.0
11.0	19163.0
12.0	16449.0
13.0	11605.0
14.0	9901.0
15.0	7474.0
16.0	6059.0
17.0	4754.0
18.0	4086.0
19.0	3018.0
20.0	2700.0
21.0	2188.0
22.0	1894.0
23.0	1604.0
24.0	1419.0
25.0	1137.0
26.0	1000.0
27.0	813.0
28.0	756.0
29.0	644.0
30.0	573.0
31.0	543.0
32.0	457.0
33.0	361.0
34.0	332.0
35.0	320.0
36.0	286.0
37.0	231.0
38.0	257.0
39.0	216.0
40.0	225.0
41.0	170.0
42.0	165.0
43.0	145.0
44.0	135.0
45.0	103.0
46.0	125.0
47.0	104.0
48.0	106.0
49.0	78.0
50.0	2947.0
