#Insert size (bp)	insert size
141.0	1.0
142.0	4.0
143.0	3.0
144.0	1.0
145.0	2.0
146.0	10.0
147.0	9.0
148.0	13.0
149.0	11.0
150.0	55.0
151.0	24561.0
152.0	47218.0
153.0	47482.0
154.0	47976.0
155.0	47944.0
156.0	48409.0
157.0	48049.0
158.0	48045.0
159.0	47421.0
160.0	47315.0
161.0	47548.0
162.0	46831.0
163.0	47014.0
164.0	46806.0
165.0	47519.0
166.0	47663.0
167.0	47431.0
168.0	46846.0
169.0	46817.0
170.0	46379.0
171.0	47170.0
172.0	46358.0
173.0	46271.0
174.0	45963.0
175.0	46013.0
176.0	46251.0
177.0	46704.0
178.0	46544.0
179.0	46405.0
180.0	46326.0
181.0	46082.0
182.0	45767.0
183.0	45048.0
184.0	44929.0
185.0	44241.0
186.0	44846.0
187.0	44507.0
188.0	45216.0
189.0	44802.0
190.0	44806.0
191.0	44377.0
192.0	44004.0
193.0	43491.0
194.0	43097.0
195.0	42867.0
196.0	43196.0
197.0	42994.0
198.0	43058.0
199.0	42901.0
200.0	42907.0
201.0	42803.0
202.0	42546.0
203.0	41827.0
204.0	40711.0
205.0	40341.0
206.0	40124.0
207.0	39997.0
208.0	40309.0
209.0	40885.0
210.0	40936.0
211.0	40608.0
212.0	40049.0
213.0	39406.0
214.0	38760.0
215.0	37886.0
216.0	37014.0
217.0	37259.0
218.0	37508.0
219.0	37453.0
220.0	37413.0
221.0	37650.0
222.0	37538.0
223.0	36600.0
224.0	35925.0
225.0	35068.0
226.0	34306.0
227.0	34089.0
228.0	34041.0
229.0	33819.0
230.0	34502.0
231.0	34487.0
232.0	34546.0
233.0	34167.0
234.0	32993.0
235.0	32456.0
236.0	31590.0
237.0	30732.0
238.0	30599.0
239.0	31007.0
240.0	30907.0
241.0	31267.0
242.0	30969.0
243.0	31055.0
244.0	30320.0
245.0	29799.0
246.0	28723.0
247.0	28165.0
248.0	27654.0
249.0	27238.0
250.0	27523.0
251.0	27816.0
252.0	27971.0
253.0	27526.0
254.0	27054.0
255.0	26785.0
256.0	25985.0
257.0	25382.0
258.0	24121.0
259.0	23445.0
260.0	23150.0
261.0	23317.0
262.0	23457.0
263.0	23135.0
264.0	22431.0
265.0	20412.0
266.0	16822.0
267.0	13335.0
268.0	10920.0
269.0	10399.0
270.0	10012.0
271.0	9710.0
272.0	9332.0
273.0	5705.0
274.0	5425.0
275.0	5429.0
276.0	5355.0
277.0	5187.0
278.0	5308.0
279.0	5132.0
280.0	5075.0
281.0	5063.0
282.0	4999.0
283.0	4837.0
284.0	4797.0
285.0	4681.0
286.0	4687.0
287.0	4590.0
288.0	4621.0
289.0	4638.0
290.0	4483.0
291.0	4524.0
292.0	4369.0
293.0	4293.0
294.0	4217.0
295.0	4211.0
296.0	4084.0
297.0	3971.0
298.0	3973.0
299.0	3963.0
300.0	3774.0
301.0	3851.0
302.0	3861.0
303.0	3770.0
304.0	3732.0
305.0	3540.0
306.0	3594.0
307.0	3399.0
308.0	3497.0
309.0	3517.0
310.0	3440.0
311.0	3398.0
312.0	3215.0
313.0	3263.0
314.0	3195.0
315.0	3074.0
316.0	3082.0
317.0	3047.0
318.0	3060.0
319.0	2887.0
320.0	2935.0
321.0	2997.0
322.0	2968.0
323.0	2713.0
324.0	2858.0
325.0	2821.0
326.0	2756.0
327.0	2591.0
328.0	2691.0
329.0	2550.0
330.0	2599.0
331.0	2523.0
332.0	2448.0
333.0	2526.0
334.0	2517.0
335.0	2360.0
336.0	2412.0
337.0	2254.0
338.0	2301.0
339.0	2294.0
340.0	2288.0
341.0	2162.0
342.0	2090.0
343.0	2181.0
344.0	2127.0
345.0	2134.0
346.0	2093.0
347.0	2061.0
348.0	1983.0
349.0	1994.0
350.0	1902.0
351.0	1923.0
352.0	1934.0
353.0	1909.0
354.0	1870.0
355.0	1836.0
356.0	1842.0
357.0	1761.0
358.0	1705.0
359.0	1717.0
360.0	1637.0
361.0	1771.0
362.0	1668.0
363.0	1657.0
364.0	1620.0
365.0	1611.0
366.0	1584.0
367.0	1611.0
368.0	1580.0
369.0	1493.0
370.0	1452.0
371.0	1490.0
372.0	1435.0
373.0	1421.0
374.0	1384.0
375.0	1380.0
376.0	1368.0
377.0	1316.0
378.0	1402.0
379.0	1285.0
380.0	1345.0
381.0	1240.0
382.0	1245.0
383.0	1239.0
384.0	1152.0
385.0	1235.0
386.0	1205.0
387.0	1222.0
388.0	1176.0
389.0	1171.0
390.0	1185.0
391.0	1168.0
392.0	1114.0
393.0	1032.0
394.0	1054.0
395.0	1069.0
396.0	1045.0
397.0	1047.0
398.0	1039.0
399.0	1025.0
400.0	982.0
401.0	969.0
402.0	972.0
403.0	974.0
404.0	951.0
405.0	960.0
406.0	909.0
407.0	890.0
408.0	928.0
409.0	906.0
410.0	825.0
411.0	914.0
412.0	871.0
413.0	885.0
414.0	784.0
415.0	818.0
416.0	804.0
417.0	784.0
418.0	758.0
419.0	823.0
420.0	707.0
421.0	772.0
422.0	725.0
423.0	698.0
424.0	753.0
425.0	793.0
426.0	689.0
427.0	719.0
428.0	681.0
429.0	677.0
430.0	695.0
431.0	626.0
432.0	628.0
433.0	627.0
434.0	618.0
435.0	642.0
436.0	593.0
437.0	625.0
438.0	587.0
439.0	579.0
440.0	629.0
441.0	567.0
442.0	583.0
443.0	541.0
444.0	553.0
445.0	531.0
446.0	542.0
447.0	584.0
448.0	557.0
449.0	564.0
450.0	500.0
451.0	506.0
452.0	488.0
453.0	469.0
454.0	490.0
455.0	468.0
456.0	465.0
457.0	467.0
458.0	474.0
459.0	449.0
460.0	459.0
461.0	426.0
462.0	467.0
463.0	414.0
464.0	422.0
465.0	405.0
466.0	410.0
467.0	413.0
468.0	409.0
469.0	403.0
470.0	374.0
471.0	392.0
472.0	416.0
473.0	366.0
474.0	398.0
475.0	364.0
476.0	382.0
