#GC Content (%)	Sample
1.0	0.0
2.0	0.0
3.0	0.0
4.0	0.0
5.0	0.0
6.0	0.0
7.0	0.0
8.0	0.0
9.0	0.0
10.0	8.333666680000533E-7
11.0	0.0
12.0	0.0
13.0	8.333666680000533E-7
14.0	0.0
15.0	0.0
16.0	0.0
17.0	1.6667333360001066E-6
18.0	0.0
19.0	0.0
20.0	8.333666680000533E-7
21.0	0.0
22.0	1.6667333360001066E-6
23.0	4.166833340000267E-6
24.0	1.6667333360001066E-6
25.0	1.2500500020000801E-5
26.0	0.0
27.0	5.00020000800032E-6
28.0	5.833566676000373E-6
29.0	1.2500500020000801E-5
30.0	4.583516674000293E-5
31.0	1.5083936690800964E-4
32.0	6.125245009800392E-4
33.0	0.001811739136232116
34.0	0.004856027574436311
35.0	0.010293745083136659
36.0	0.019479112497833243
37.0	0.031179580516553992
38.0	0.04593350400682694
39.0	0.06082659973065589
40.0	0.07450048001920077
41.0	0.08547675240342947
42.0	0.09160449751323387
43.0	0.09314205901569397
44.0	0.08931857274290972
45.0	0.08146409189700922
46.0	0.07139368908089658
47.0	0.059322372894915806
48.0	0.04750023334266704
49.0	0.037159819726122374
50.0	0.028706981612597837
51.0	0.023400102670773498
52.0	0.01341553662146486
53.0	0.009977899115964637
54.0	0.0063877555102204095
55.0	0.004002660106404256
56.0	0.002640938970892169
57.0	0.0016600664026561066
58.0	0.0010667093350400683
59.0	7.50863367868048E-4
60.0	5.508553675480352E-4
61.0	4.0501620064802593E-4
62.0	2.850114004560183E-4
63.0	1.7584036694801123E-4
64.0	1.0500420016800672E-4
65.0	7.916983346000507E-5
66.0	5.5002200088003525E-5
67.0	4.000160006400256E-5
68.0	2.7501100044001762E-5
69.0	1.750070002800112E-5
70.0	1.4167233356000906E-5
71.0	9.167033348000587E-6
72.0	1.3333866688000854E-5
73.0	7.50030001200048E-6
74.0	4.166833340000266E-6
75.0	4.166833340000267E-6
76.0	5.833566676000374E-6
77.0	2.5001000040001597E-6
78.0	4.166833340000267E-6
79.0	2.5001000040001597E-6
80.0	2.5001000040001597E-6
81.0	2.5001000040001597E-6
82.0	2.5001000040001597E-6
83.0	1.6667333360001066E-6
84.0	2.5001000040001597E-6
85.0	1.6667333360001066E-6
86.0	4.166833340000267E-6
87.0	1.6667333360001066E-6
88.0	4.166833340000267E-6
89.0	1.6667333360001066E-6
90.0	8.333666680000533E-7
91.0	3.333466672000213E-6
92.0	8.333666680000533E-7
93.0	0.0
94.0	8.333666680000533E-7
95.0	8.333666680000533E-7
96.0	8.333666680000533E-7
97.0	8.333666680000533E-7
98.0	0.0
99.0	0.0
100.0	2.9167833380001866E-5
