#Mapping quality	mapping quality
0.0	358690.0
1.0	91863.0
2.0	36182.0
3.0	24266.0
4.0	21885.0
5.0	20075.0
6.0	19834.0
7.0	20068.0
8.0	22525.0
9.0	29500.0
10.0	25694.0
11.0	22559.0
12.0	17069.0
13.0	15216.0
14.0	15091.0
15.0	14371.0
16.0	14307.0
17.0	16377.0
18.0	16616.0
19.0	17833.0
20.0	18898.0
21.0	19769.0
22.0	74298.0
23.0	31183.0
24.0	44331.0
25.0	40431.0
26.0	50534.0
27.0	47587.0
28.0	64199.0
29.0	88023.0
30.0	84167.0
31.0	94017.0
32.0	123449.0
33.0	169654.0
34.0	212956.0
35.0	279338.0
36.0	429348.0
37.0	588395.0
38.0	907323.0
39.0	1353824.0
40.0	2019704.0
41.0	2255772.0
42.0	1455069.0
43.0	354263.0
44.0	290391.0
