#Duplication rate	Coverage
1.0	1137162.0
2.0	1088206.0
3.0	359530.0
4.0	397663.0
5.0	166583.0
6.0	181411.0
7.0	89328.0
8.0	94242.0
9.0	52482.0
10.0	54939.0
11.0	33028.0
12.0	33542.0
13.0	21614.0
14.0	21600.0
15.0	14862.0
16.0	14507.0
17.0	10327.0
18.0	10374.0
19.0	7521.0
20.0	7320.0
21.0	5536.0
22.0	5461.0
23.0	4128.0
24.0	4021.0
25.0	3041.0
26.0	3123.0
27.0	2487.0
28.0	2456.0
29.0	1891.0
30.0	1906.0
31.0	1526.0
32.0	1495.0
33.0	1182.0
34.0	1249.0
35.0	985.0
36.0	1024.0
37.0	833.0
38.0	770.0
39.0	626.0
40.0	652.0
41.0	537.0
42.0	510.0
43.0	452.0
44.0	447.0
45.0	368.0
46.0	388.0
47.0	337.0
48.0	350.0
49.0	307.0
50.0	6405.0
