#Insert size (bp)	insert size
141.0	1.0
142.0	5.0
143.0	4.0
145.0	4.0
146.0	7.0
147.0	8.0
148.0	11.0
149.0	26.0
150.0	49.0
151.0	25940.0
152.0	50952.0
153.0	51715.0
154.0	51594.0
155.0	52291.0
156.0	52174.0
157.0	51979.0
158.0	52366.0
159.0	52177.0
160.0	51629.0
161.0	51399.0
162.0	51081.0
163.0	51249.0
164.0	51987.0
165.0	52389.0
166.0	52402.0
167.0	52513.0
168.0	52969.0
169.0	52664.0
170.0	52543.0
171.0	52510.0
172.0	52246.0
173.0	52208.0
174.0	52878.0
175.0	52827.0
176.0	53292.0
177.0	53587.0
178.0	53761.0
179.0	54362.0
180.0	54326.0
181.0	54584.0
182.0	53692.0
183.0	53497.0
184.0	54559.0
185.0	54683.0
186.0	54699.0
187.0	54975.0
188.0	56295.0
189.0	55998.0
190.0	56484.0
191.0	56670.0
192.0	56561.0
193.0	56433.0
194.0	55300.0
195.0	55534.0
196.0	56454.0
197.0	57948.0
198.0	57455.0
199.0	58348.0
200.0	58890.0
201.0	59835.0
202.0	59104.0
203.0	59149.0
204.0	58296.0
205.0	57704.0
206.0	58383.0
207.0	58969.0
208.0	59827.0
209.0	61063.0
210.0	61958.0
211.0	61993.0
212.0	62547.0
213.0	61431.0
214.0	61650.0
215.0	60058.0
216.0	59866.0
217.0	60535.0
218.0	61062.0
219.0	63095.0
220.0	63672.0
221.0	64455.0
222.0	64950.0
223.0	63561.0
224.0	63293.0
225.0	62434.0
226.0	61127.0
227.0	61706.0
228.0	62148.0
229.0	63101.0
230.0	64409.0
231.0	65221.0
232.0	66173.0
233.0	65926.0
234.0	64684.0
235.0	64281.0
236.0	62278.0
237.0	61370.0
238.0	61885.0
239.0	62777.0
240.0	64570.0
241.0	64822.0
242.0	65584.0
243.0	66655.0
244.0	65503.0
245.0	64689.0
246.0	62664.0
247.0	61770.0
248.0	61201.0
249.0	60385.0
250.0	62278.0
251.0	63470.0
252.0	64739.0
