#GC Content (%)	Sample
1.0	0.0
2.0	0.0
3.0	0.0
4.0	0.0
5.0	0.0
6.0	0.0
7.0	0.0
8.0	0.0
9.0	6.579146474169614E-7
10.0	0.0
11.0	6.579146474169614E-7
12.0	6.579146474169614E-7
13.0	6.579146474169614E-7
14.0	6.579146474169614E-7
15.0	6.579146474169614E-7
16.0	2.6316585896678454E-6
17.0	2.6316585896678454E-6
18.0	2.6316585896678454E-6
19.0	4.605402531918729E-6
20.0	5.263317179335691E-6
21.0	4.605402531918729E-6
22.0	6.579146474169613E-6
23.0	5.263317179335691E-6
24.0	9.868719711254419E-6
25.0	1.578995153800707E-5
26.0	1.2500378300922266E-5
27.0	2.03953540699258E-5
28.0	2.829032983892934E-5
29.0	6.644937938911309E-5
30.0	1.1118757541346646E-4
31.0	2.1776974829501418E-4
32.0	6.164660246296927E-4
33.0	0.001721104717642771
34.0	0.004237628244012649
35.0	0.008539074208824741
36.0	0.01550046909314361
37.0	0.02514747156821851
38.0	0.037038620905632674
39.0	0.0503291546981027
40.0	0.06296374758709802
41.0	0.07348906611647457
42.0	0.0807866553856235
43.0	0.08492033311534428
44.0	0.08458940204769355
45.0	0.08035045797438606
46.0	0.07362393861919506
47.0	0.06387693311771278
48.0	0.05405163577318786
49.0	0.044844778197234925
50.0	0.03648202511391792
51.0	0.031141074006187028
52.0	0.019751255630104596
53.0	0.016864984071886385
54.0	0.01249708872768518
55.0	0.0091969888562417
56.0	0.006656122487917398
57.0	0.004877779195949352
58.0	0.003459315216118382
59.0	0.0025869203936434923
60.0	0.001971112283661216
61.0	0.0014579388586759864
62.0	0.0011980625729462865
63.0	8.756843957119755E-4
64.0	6.493617570005408E-4
65.0	5.026467906265584E-4
66.0	4.144862278726856E-4
67.0	3.1119362822822267E-4
68.0	2.5790254178744885E-4
69.0	2.2237515082693292E-4
70.0	2.079010285837598E-4
71.0	1.631628325594064E-4
72.0	1.3684624666272796E-4
73.0	1.1052966076604951E-4
74.0	9.408179458062545E-5
75.0	8.552890416420496E-5
76.0	9.145013599095763E-5
77.0	7.434435515811664E-5
78.0	6.315980615202828E-5
79.0	5.000151320368906E-5
80.0	5.197525714593995E-5
81.0	4.2764452082102486E-5
82.0	3.2895732370848065E-5
83.0	2.6316585896678453E-5
84.0	2.89482444863463E-5
85.0	2.9606159133763263E-5
86.0	2.5000756601844535E-5
87.0	2.1053268717342763E-5
88.0	1.1184549006088342E-5
89.0	1.1842463653505303E-5
90.0	1.3816207595756187E-5
91.0	1.2500378300922266E-5
92.0	1.052663435867138E-5
93.0	2.6316585896678454E-6
94.0	9.21080506383746E-6
95.0	4.605402531918729E-6
96.0	3.947487884501768E-6
97.0	3.2895732370848067E-6
98.0	1.3158292948339227E-6
99.0	4.60540253191873E-6
100.0	5.3291086440773866E-5
