#Mapping quality	mapping quality
0.0	394139.0
1.0	80030.0
2.0	35971.0
3.0	26312.0
4.0	24554.0
5.0	21339.0
6.0	22179.0
7.0	24637.0
8.0	29833.0
9.0	29076.0
10.0	24233.0
11.0	21483.0
12.0	18622.0
13.0	16563.0
14.0	16759.0
15.0	17610.0
16.0	18833.0
17.0	19121.0
18.0	18950.0
19.0	18284.0
20.0	18723.0
21.0	18757.0
22.0	89380.0
23.0	52894.0
24.0	71643.0
25.0	76096.0
26.0	93934.0
27.0	99063.0
28.0	127490.0
29.0	162492.0
30.0	192409.0
31.0	238893.0
32.0	324885.0
33.0	430581.0
34.0	572217.0
35.0	763893.0
36.0	1048119.0
37.0	1333513.0
38.0	1602202.0
39.0	1610026.0
40.0	1252829.0
41.0	628240.0
42.0	205341.0
43.0	47428.0
44.0	117417.0
