#Duplication rate	Coverage
1.0	1677245.0
2.0	887136.0
3.0	377975.0
4.0	238743.0
5.0	127146.0
6.0	85277.0
7.0	51947.0
8.0	36266.0
9.0	24039.0
10.0	17467.0
11.0	12505.0
12.0	9461.0
13.0	6831.0
14.0	5490.0
15.0	4139.0
16.0	3385.0
17.0	2548.0
18.0	2149.0
19.0	1682.0
20.0	1474.0
21.0	1147.0
22.0	1060.0
23.0	845.0
24.0	762.0
25.0	611.0
26.0	554.0
27.0	462.0
28.0	460.0
29.0	369.0
30.0	324.0
31.0	296.0
32.0	293.0
33.0	252.0
34.0	237.0
35.0	193.0
36.0	181.0
37.0	168.0
38.0	149.0
39.0	153.0
40.0	149.0
41.0	144.0
42.0	137.0
43.0	115.0
44.0	124.0
45.0	106.0
46.0	112.0
47.0	100.0
48.0	89.0
49.0	72.0
50.0	2337.0
