#Insert size (bp)	insert size
141.0	1.0
142.0	4.0
143.0	1.0
145.0	3.0
146.0	1.0
147.0	7.0
148.0	9.0
149.0	12.0
150.0	58.0
151.0	20086.0
152.0	38344.0
153.0	39327.0
154.0	38871.0
155.0	39077.0
156.0	39497.0
157.0	38633.0
158.0	38824.0
159.0	38938.0
160.0	38633.0
161.0	38625.0
162.0	38284.0
163.0	38584.0
164.0	38323.0
165.0	38475.0
166.0	38973.0
167.0	38647.0
168.0	38319.0
169.0	38438.0
170.0	37718.0
171.0	37874.0
172.0	37356.0
173.0	37668.0
174.0	37413.0
175.0	37108.0
176.0	37648.0
177.0	37203.0
178.0	37005.0
179.0	37196.0
180.0	37041.0
181.0	37261.0
182.0	35633.0
183.0	35984.0
184.0	35775.0
185.0	35693.0
186.0	36117.0
187.0	35847.0
188.0	35639.0
189.0	35529.0
190.0	35372.0
191.0	34930.0
192.0	34493.0
193.0	34065.0
194.0	33900.0
195.0	33431.0
196.0	33646.0
197.0	33482.0
198.0	33236.0
199.0	33146.0
200.0	32964.0
201.0	32711.0
202.0	32559.0
203.0	31572.0
204.0	31207.0
205.0	30326.0
206.0	30895.0
207.0	30742.0
208.0	30208.0
209.0	30373.0
210.0	29874.0
211.0	29762.0
212.0	29597.0
213.0	28964.0
214.0	28439.0
215.0	27790.0
216.0	27555.0
217.0	27226.0
218.0	26986.0
219.0	27281.0
220.0	26948.0
221.0	26602.0
222.0	26484.0
223.0	25402.0
224.0	25269.0
225.0	24410.0
226.0	24359.0
227.0	23910.0
228.0	23557.0
229.0	23543.0
230.0	23357.0
231.0	23208.0
232.0	22771.0
233.0	22365.0
234.0	21976.0
235.0	21275.0
236.0	20957.0
237.0	20517.0
238.0	20181.0
239.0	20384.0
240.0	19806.0
241.0	19830.0
242.0	19491.0
243.0	19341.0
244.0	19112.0
245.0	18434.0
246.0	17946.0
247.0	17602.0
248.0	17207.0
249.0	16730.0
250.0	16803.0
251.0	16734.0
252.0	16397.0
253.0	16035.0
254.0	15725.0
255.0	15791.0
256.0	15287.0
257.0	14918.0
258.0	14493.0
259.0	14284.0
260.0	14141.0
261.0	13749.0
262.0	13627.0
263.0	13270.0
264.0	12963.0
265.0	12430.0
266.0	11745.0
267.0	11118.0
268.0	10447.0
269.0	10474.0
270.0	10402.0
271.0	10121.0
272.0	9673.0
273.0	9617.0
274.0	9592.0
275.0	9303.0
276.0	9219.0
277.0	9254.0
278.0	9106.0
279.0	9368.0
280.0	8829.0
281.0	8982.0
282.0	9119.0
283.0	8714.0
284.0	8642.0
285.0	8763.0
286.0	8346.0
287.0	8465.0
288.0	8495.0
289.0	8326.0
290.0	8369.0
291.0	8028.0
292.0	8102.0
293.0	7957.0
294.0	8046.0
295.0	7946.0
296.0	7925.0
297.0	7840.0
298.0	7642.0
299.0	7684.0
300.0	7572.0
301.0	7462.0
302.0	7431.0
303.0	7179.0
304.0	7491.0
305.0	7308.0
306.0	7263.0
307.0	7030.0
308.0	7154.0
309.0	7043.0
310.0	6915.0
311.0	6889.0
312.0	6916.0
313.0	6719.0
314.0	6737.0
315.0	6753.0
316.0	6776.0
317.0	6616.0
318.0	6739.0
319.0	6528.0
320.0	6518.0
321.0	6457.0
322.0	6273.0
323.0	6340.0
324.0	6249.0
325.0	6259.0
326.0	6020.0
327.0	6261.0
328.0	6039.0
329.0	6022.0
330.0	6055.0
331.0	5883.0
332.0	5855.0
333.0	5863.0
334.0	5634.0
335.0	5751.0
336.0	5714.0
337.0	5465.0
338.0	5443.0
339.0	5451.0
340.0	5328.0
341.0	5374.0
342.0	5293.0
343.0	5219.0
344.0	5192.0
345.0	5186.0
346.0	5200.0
347.0	5061.0
348.0	5074.0
349.0	4939.0
350.0	4984.0
351.0	4963.0
352.0	4800.0
353.0	4850.0
354.0	4722.0
355.0	4728.0
356.0	4528.0
357.0	4671.0
358.0	4646.0
359.0	4595.0
360.0	4380.0
361.0	4470.0
362.0	4374.0
363.0	4414.0
364.0	4399.0
365.0	4215.0
366.0	4329.0
367.0	4243.0
368.0	4184.0
369.0	4087.0
370.0	4032.0
371.0	4073.0
372.0	4007.0
373.0	4106.0
374.0	3864.0
375.0	3825.0
376.0	3849.0
377.0	3935.0
378.0	3812.0
379.0	3809.0
380.0	3754.0
381.0	3731.0
382.0	3679.0
383.0	3586.0
384.0	3491.0
385.0	3586.0
386.0	3493.0
387.0	3560.0
388.0	3448.0
389.0	3511.0
390.0	3330.0
391.0	3263.0
392.0	3446.0
393.0	3368.0
394.0	3271.0
395.0	3338.0
396.0	3237.0
397.0	3284.0
398.0	3183.0
399.0	3266.0
400.0	3069.0
401.0	3133.0
402.0	3028.0
403.0	2977.0
404.0	3015.0
405.0	2955.0
406.0	2930.0
407.0	2971.0
408.0	2920.0
409.0	2908.0
410.0	2749.0
411.0	2752.0
412.0	2688.0
413.0	2791.0
414.0	2570.0
415.0	2698.0
416.0	2725.0
417.0	2615.0
418.0	2608.0
419.0	2700.0
420.0	2588.0
421.0	2466.0
422.0	2536.0
423.0	2568.0
424.0	2391.0
425.0	2368.0
426.0	2363.0
427.0	2350.0
428.0	2356.0
429.0	2406.0
430.0	2329.0
431.0	2358.0
432.0	2282.0
433.0	2212.0
434.0	2258.0
435.0	2294.0
436.0	2164.0
437.0	2154.0
438.0	2110.0
439.0	2067.0
440.0	2115.0
441.0	2055.0
442.0	2039.0
443.0	2010.0
444.0	2088.0
445.0	2048.0
446.0	1927.0
447.0	2036.0
448.0	1990.0
449.0	1936.0
450.0	1997.0
451.0	2032.0
452.0	1967.0
453.0	1838.0
454.0	1839.0
455.0	1804.0
456.0	1833.0
457.0	1830.0
458.0	1753.0
459.0	1771.0
460.0	1680.0
461.0	1706.0
462.0	1709.0
463.0	1734.0
464.0	1679.0
465.0	1703.0
466.0	1639.0
467.0	1630.0
468.0	1683.0
469.0	1664.0
470.0	1504.0
471.0	1603.0
472.0	1537.0
473.0	1531.0
474.0	1629.0
475.0	1512.0
476.0	1487.0
477.0	1495.0
478.0	1488.0
479.0	1471.0
480.0	1416.0
481.0	1484.0
482.0	1410.0
483.0	1327.0
484.0	1323.0
485.0	1294.0
486.0	1383.0
487.0	1298.0
488.0	1332.0
489.0	1314.0
490.0	1322.0
491.0	1278.0
492.0	1363.0
493.0	1274.0
494.0	1270.0
495.0	1274.0
496.0	1223.0
497.0	1223.0
498.0	1120.0
499.0	1153.0
500.0	1167.0
501.0	1153.0
502.0	1146.0
503.0	1173.0
504.0	1131.0
505.0	1081.0
506.0	1125.0
507.0	1087.0
508.0	1155.0
509.0	1029.0
510.0	1082.0
511.0	1057.0
512.0	1064.0
513.0	1018.0
514.0	1007.0
515.0	1029.0
516.0	1045.0
517.0	956.0
518.0	999.0
519.0	969.0
520.0	934.0
521.0	908.0
522.0	928.0
523.0	954.0
524.0	927.0
525.0	931.0
526.0	921.0
527.0	867.0
528.0	860.0
529.0	897.0
530.0	836.0
531.0	845.0
532.0	871.0
533.0	835.0
534.0	834.0
535.0	837.0
536.0	817.0
