#Mapping quality	mapping quality
0.0	272549.0
1.0	131489.0
2.0	39103.0
3.0	28041.0
4.0	21244.0
5.0	19023.0
6.0	18445.0
7.0	18813.0
8.0	21091.0
9.0	25053.0
10.0	32453.0
11.0	23240.0
12.0	16821.0
13.0	14633.0
14.0	13596.0
15.0	12982.0
16.0	12472.0
17.0	12225.0
18.0	13095.0
19.0	14869.0
20.0	16986.0
21.0	17353.0
22.0	20289.0
23.0	18288.0
24.0	19744.0
25.0	19813.0
26.0	19250.0
27.0	20389.0
28.0	21438.0
29.0	22779.0
30.0	23906.0
31.0	24273.0
32.0	25207.0
33.0	30623.0
34.0	35535.0
35.0	43111.0
36.0	61902.0
37.0	85516.0
38.0	141847.0
39.0	264984.0
40.0	606391.0
41.0	1549350.0
42.0	3870533.0
43.0	4175486.0
44.0	235109.0
