#Duplication rate	Coverage
1.0	1138843.0
2.0	604656.0
3.0	204042.0
4.0	138439.0
5.0	62360.0
6.0	43334.0
7.0	23674.0
8.0	16739.0
9.0	10325.0
10.0	7655.0
11.0	5204.0
12.0	4037.0
13.0	2699.0
14.0	2225.0
15.0	1527.0
16.0	1248.0
17.0	955.0
18.0	795.0
19.0	552.0
20.0	485.0
21.0	310.0
22.0	328.0
23.0	268.0
24.0	209.0
25.0	173.0
26.0	163.0
27.0	120.0
28.0	106.0
29.0	69.0
30.0	86.0
31.0	79.0
32.0	61.0
33.0	45.0
34.0	59.0
35.0	50.0
36.0	51.0
37.0	32.0
38.0	37.0
39.0	30.0
40.0	25.0
41.0	34.0
42.0	31.0
43.0	14.0
44.0	19.0
45.0	18.0
46.0	23.0
47.0	21.0
48.0	15.0
49.0	11.0
50.0	269.0
