#Coverage (X)	Coverage
1.0	98.81560618255745
2.0	98.13713873492085
3.0	97.15303931322465
4.0	96.36434825560855
5.0	95.43749108031888
6.0	94.6188751351576
7.0	93.73919201981064
8.0	92.89620349581583
9.0	92.0096766458791
10.0	91.1450382307301
11.0	90.22439964119746
12.0	89.30455893899082
13.0	88.32633262606517
14.0	87.33239533589617
15.0	86.29733805869078
16.0	85.24756510698887
17.0	84.1533901368788
18.0	83.04911407773479
19.0	81.92806593346032
20.0	80.7865523905568
21.0	79.6020105115486
22.0	78.41315017020911
23.0	77.18892779160828
24.0	75.9539791751408
25.0	74.70809045410071
26.0	73.46887272915716
27.0	72.18759729392812
28.0	70.90324546839071
29.0	69.62421563357395
30.0	68.33631033046109
31.0	67.04508186776376
32.0	65.78086641515395
33.0	64.51612452142184
34.0	63.25570109002103
35.0	61.995960386950685
36.0	60.74474967518995
37.0	59.500991395566636
38.0	58.26712033827133
39.0	57.0561823723658
40.0	55.86614576414369
41.0	54.67646285855062
42.0	53.511563813917874
43.0	52.349190041543615
44.0	51.195469645117
45.0	50.06475637086297
46.0	48.942573087918554
47.0	47.8411842293046
48.0	46.74793053115854
49.0	45.67415515453721
50.0	44.61386160603204
51.0	43.578483528767755
