#Insert size (bp)	insert size
142.0	3.0
144.0	2.0
145.0	2.0
146.0	1.0
148.0	6.0
149.0	17.0
150.0	32.0
151.0	13709.0
152.0	26970.0
153.0	27150.0
154.0	27099.0
155.0	26966.0
156.0	26761.0
157.0	26457.0
158.0	26903.0
159.0	26925.0
160.0	26523.0
161.0	26595.0
162.0	26269.0
163.0	26353.0
164.0	26188.0
165.0	26355.0
166.0	26266.0
167.0	25748.0
168.0	25968.0
169.0	25902.0
170.0	25481.0
171.0	25712.0
172.0	25502.0
173.0	25184.0
174.0	25213.0
175.0	24867.0
176.0	24677.0
177.0	24341.0
178.0	24374.0
179.0	24030.0
180.0	24196.0
181.0	23510.0
182.0	23648.0
183.0	23481.0
184.0	23165.0
185.0	23138.0
186.0	23166.0
187.0	22787.0
188.0	22554.0
189.0	22428.0
190.0	22067.0
191.0	21769.0
192.0	21567.0
193.0	21377.0
194.0	21048.0
195.0	20842.0
196.0	20694.0
197.0	20624.0
198.0	20005.0
199.0	20155.0
200.0	19763.0
201.0	19794.0
202.0	19502.0
203.0	19232.0
204.0	18870.0
205.0	18597.0
206.0	18435.0
207.0	18218.0
208.0	17914.0
209.0	17752.0
210.0	17143.0
211.0	17697.0
212.0	17108.0
213.0	17081.0
214.0	16559.0
215.0	16328.0
216.0	16367.0
217.0	16090.0
218.0	15601.0
219.0	15662.0
220.0	15376.0
221.0	14856.0
222.0	14802.0
223.0	14627.0
224.0	14432.0
225.0	14313.0
226.0	13842.0
227.0	13700.0
228.0	13535.0
229.0	12916.0
230.0	13063.0
231.0	12926.0
232.0	12767.0
233.0	12548.0
234.0	12362.0
235.0	12084.0
236.0	11957.0
237.0	11459.0
238.0	11634.0
239.0	11428.0
240.0	11156.0
241.0	10953.0
242.0	10936.0
243.0	10509.0
244.0	10448.0
245.0	10307.0
246.0	9975.0
247.0	9756.0
248.0	10123.0
249.0	9706.0
250.0	9232.0
251.0	9290.0
252.0	9021.0
253.0	8936.0
254.0	8737.0
255.0	8563.0
256.0	8412.0
257.0	8260.0
258.0	8116.0
259.0	7902.0
260.0	7765.0
261.0	7601.0
262.0	7427.0
263.0	7393.0
264.0	7223.0
265.0	6543.0
266.0	6186.0
267.0	5553.0
268.0	5211.0
269.0	5104.0
270.0	4859.0
271.0	4653.0
272.0	4588.0
273.0	4193.0
274.0	4032.0
275.0	4005.0
276.0	4029.0
277.0	3929.0
278.0	3982.0
279.0	3915.0
280.0	3779.0
281.0	3726.0
282.0	3781.0
283.0	3666.0
284.0	3481.0
285.0	3808.0
286.0	3579.0
287.0	3523.0
288.0	3523.0
289.0	3429.0
290.0	3475.0
291.0	3293.0
292.0	3121.0
293.0	3350.0
294.0	3205.0
295.0	3212.0
296.0	3200.0
297.0	3189.0
298.0	3086.0
299.0	3039.0
300.0	2893.0
301.0	2884.0
302.0	2890.0
303.0	2907.0
304.0	2807.0
305.0	2796.0
306.0	2738.0
307.0	2796.0
308.0	2740.0
309.0	2577.0
310.0	2568.0
311.0	2598.0
312.0	2452.0
313.0	2513.0
314.0	2540.0
315.0	2506.0
316.0	2565.0
317.0	2427.0
318.0	2235.0
319.0	2391.0
320.0	2384.0
321.0	2363.0
322.0	2199.0
323.0	2249.0
324.0	2185.0
325.0	2180.0
326.0	2244.0
327.0	2218.0
328.0	2116.0
329.0	2134.0
330.0	2057.0
331.0	1997.0
332.0	1978.0
333.0	2032.0
334.0	1980.0
335.0	2031.0
336.0	1914.0
337.0	1849.0
338.0	1839.0
339.0	1830.0
340.0	1963.0
341.0	1791.0
342.0	1764.0
343.0	1758.0
344.0	1726.0
345.0	1725.0
346.0	1718.0
347.0	1700.0
348.0	1669.0
349.0	1690.0
350.0	1634.0
351.0	1648.0
352.0	1626.0
353.0	1563.0
354.0	1521.0
355.0	1471.0
356.0	1502.0
357.0	1536.0
358.0	1478.0
359.0	1459.0
360.0	1513.0
361.0	1415.0
362.0	1371.0
363.0	1469.0
364.0	1328.0
365.0	1309.0
366.0	1326.0
367.0	1329.0
368.0	1349.0
369.0	1367.0
370.0	1207.0
371.0	1284.0
372.0	1310.0
373.0	1250.0
374.0	1238.0
375.0	1230.0
376.0	1195.0
377.0	1179.0
378.0	1191.0
379.0	1160.0
380.0	1131.0
381.0	1134.0
382.0	1097.0
383.0	1079.0
384.0	1169.0
385.0	1037.0
386.0	1070.0
387.0	1091.0
388.0	1021.0
389.0	1049.0
390.0	1053.0
391.0	989.0
392.0	1020.0
393.0	977.0
394.0	998.0
395.0	989.0
396.0	993.0
397.0	970.0
398.0	941.0
399.0	943.0
400.0	960.0
401.0	897.0
402.0	888.0
403.0	858.0
404.0	873.0
405.0	867.0
406.0	854.0
407.0	881.0
408.0	835.0
409.0	782.0
410.0	819.0
411.0	712.0
412.0	812.0
413.0	825.0
414.0	760.0
415.0	816.0
416.0	755.0
417.0	742.0
418.0	754.0
419.0	755.0
420.0	747.0
421.0	683.0
422.0	719.0
423.0	680.0
424.0	685.0
425.0	696.0
426.0	689.0
427.0	668.0
428.0	607.0
429.0	659.0
430.0	607.0
431.0	623.0
432.0	630.0
433.0	653.0
434.0	609.0
435.0	603.0
436.0	586.0
437.0	596.0
438.0	566.0
439.0	608.0
440.0	597.0
441.0	543.0
442.0	585.0
443.0	558.0
444.0	574.0
445.0	543.0
446.0	541.0
447.0	528.0
448.0	495.0
449.0	517.0
450.0	491.0
451.0	514.0
452.0	513.0
453.0	451.0
454.0	523.0
455.0	530.0
456.0	497.0
457.0	469.0
458.0	453.0
459.0	490.0
460.0	471.0
461.0	466.0
462.0	426.0
463.0	392.0
464.0	464.0
465.0	451.0
466.0	409.0
467.0	443.0
468.0	383.0
469.0	420.0
470.0	425.0
471.0	413.0
472.0	370.0
473.0	388.0
474.0	409.0
475.0	385.0
476.0	412.0
477.0	395.0
478.0	360.0
479.0	374.0
480.0	347.0
481.0	334.0
482.0	351.0
