#GC Content (%)	Sample
1.0	0.0
2.0	0.0
3.0	0.0
4.0	0.0
5.0	0.0
6.0	0.0
7.0	0.0
8.0	1.5306434825200515E-6
9.0	0.0
10.0	0.0
11.0	0.0
12.0	0.0
13.0	0.0
14.0	1.5306434825200515E-6
15.0	0.0
16.0	1.5306434825200515E-6
17.0	6.122573930080206E-6
18.0	1.5306434825200515E-6
19.0	6.122573930080206E-6
20.0	7.653217412600257E-6
21.0	6.122573930080206E-6
22.0	6.122573930080206E-6
23.0	6.122573930080206E-6
24.0	1.0714504377640361E-5
25.0	2.9082226167880977E-5
26.0	2.1429008755280722E-5
27.0	3.367415661544114E-5
28.0	5.5103165370721854E-5
29.0	1.224514786016041E-4
30.0	3.489867140145717E-4
31.0	0.0011969632033306803
32.0	0.003627625053572522
33.0	0.009395089695708075
34.0	0.02081828200575522
35.0	0.03787883426192372
36.0	0.05824710708381805
37.0	0.08095879507745055
38.0	0.09918110573685177
39.0	0.11046041755954203
40.0	0.11214259474683158
41.0	0.10388018122818833
42.0	0.08981969019775914
43.0	0.07259229780199597
44.0	0.05687871181044512
45.0	0.04196718300373477
46.0	0.030067960570623893
47.0	0.02082899651013286
48.0	0.014582440457968531
49.0	0.01040837568113635
50.0	0.0073899467336068095
51.0	0.006062878834261924
52.0	0.003477621992285557
53.0	0.0024750505112349232
54.0	0.001519928978142411
55.0	0.001042368211596155
56.0	6.81136349721423E-4
57.0	4.392946794832547E-4
58.0	2.923529051613298E-4
59.0	2.5408681809832855E-4
60.0	2.1275944407028713E-4
61.0	1.852078613849262E-4
62.0	1.6377885262964552E-4
63.0	8.571603502112289E-5
64.0	4.1327374028041394E-5
65.0	1.3775791342680464E-5
66.0	1.0714504377640361E-5
67.0	9.18386089512031E-6
68.0	4.591930447560155E-6
69.0	1.5306434825200515E-6
70.0	4.591930447560155E-6
71.0	1.5306434825200515E-6
72.0	3.061286965040103E-6
73.0	3.061286965040103E-6
74.0	1.5306434825200515E-6
75.0	3.061286965040103E-6
76.0	0.0
77.0	0.0
78.0	1.5306434825200515E-6
79.0	0.0
80.0	1.5306434825200515E-6
81.0	0.0
82.0	0.0
83.0	0.0
84.0	1.5306434825200515E-6
85.0	0.0
86.0	0.0
87.0	0.0
88.0	1.5306434825200515E-6
89.0	0.0
90.0	0.0
91.0	0.0
92.0	0.0
93.0	0.0
94.0	0.0
95.0	0.0
96.0	1.5306434825200515E-6
97.0	0.0
98.0	0.0
99.0	0.0
100.0	1.3775791342680464E-5
