#Mapping quality	mapping quality
0.0	289669.0
1.0	135808.0
2.0	37513.0
3.0	25029.0
4.0	19959.0
5.0	18365.0
6.0	17468.0
7.0	18340.0
8.0	21329.0
9.0	26932.0
10.0	29953.0
11.0	26086.0
12.0	15840.0
13.0	13789.0
14.0	13077.0
15.0	13600.0
16.0	13864.0
17.0	13761.0
18.0	13836.0
19.0	15053.0
20.0	16505.0
21.0	17583.0
22.0	33187.0
23.0	20630.0
24.0	24677.0
25.0	22390.0
26.0	23436.0
27.0	22777.0
28.0	31920.0
29.0	37280.0
30.0	32263.0
31.0	32585.0
32.0	41149.0
33.0	58197.0
34.0	65262.0
35.0	81169.0
36.0	133737.0
37.0	168623.0
38.0	285704.0
39.0	466267.0
40.0	920916.0
41.0	1705495.0
42.0	3050530.0
43.0	3063182.0
44.0	878382.0
