#Coverage	Number of genomic locations
0.0	5216151.0
1.0	1171597.0
2.0	2905068.0
3.0	708924.0
4.0	1141851.0
5.0	291396.0
6.0	387056.0
7.0	103761.0
8.0	117179.0
9.0	32663.0
10.0	32892.0
11.0	9843.0
12.0	9909.0
13.0	3775.0
14.0	3671.0
15.0	1530.0
16.0	1207.0
17.0	816.0
18.0	639.0
19.0	470.0
20.0	492.0
21.0	486.0
22.0	449.0
23.0	624.0
24.0	477.0
25.0	626.0
26.0	559.0
27.0	488.0
28.0	510.0
29.0	545.0
30.0	474.0
31.0	479.0
32.0	638.0
33.0	671.0
34.0	567.0
35.0	740.0
36.0	516.0
37.0	495.0
38.0	392.0
39.0	367.0
40.0	320.0
41.0	333.0
42.0	314.0
43.0	303.0
44.0	216.0
45.0	234.0
46.0	240.0
47.0	245.0
48.0	245.0
49.0	221.0
50.0	203.0
51.0	167.0
52.0	191.0
53.0	134.0
54.0	163.0
55.0	160.0
56.0	128.0
57.0	146.0
58.0	124.0
59.0	107.0
60.0	92.0
61.0	83.0
62.0	75.0
63.0	55.0
64.0	64.0
65.0	68.0
66.0	74.0
67.0	56.0
68.0	66.0
69.0	62.0
70.0	36.0
71.0	73.0
72.0	46.0
73.0	51.0
74.0	49.0
75.0	37.0
76.0	31.0
77.0	59.0
78.0	59.0
79.0	48.0
80.0	50.0
81.0	55.0
82.0	47.0
83.0	31.0
84.0	49.0
85.0	42.0
86.0	14.0
87.0	13.0
88.0	14.0
89.0	5.0
90.0	10.0
91.0	15.0
92.0	19.0
93.0	12.0
94.0	14.0
95.0	10.0
96.0	13.0
97.0	9.0
98.0	9.0
99.0	17.0
100.0	15.0
101.0	12.0
102.0	20.0
103.0	7.0
104.0	6.0
105.0	11.0
106.0	6.0
107.0	4.0
108.0	8.0
109.0	5.0
111.0	4.0
114.0	10.0
115.0	6.0
116.0	4.0
117.0	2.0
119.0	4.0
120.0	1.0
122.0	1.0
123.0	1.0
124.0	3.0
125.0	4.0
126.0	14.0
127.0	2.0
128.0	2.0
129.0	5.0
130.0	3.0
131.0	7.0
134.0	2.0
136.0	5.0
138.0	1.0
140.0	3.0
141.0	2.0
143.0	1.0
146.0	1.0
147.0	1.0
149.0	1.0
150.0	3.0
151.0	1.0
160.0	3.0
161.0	2.0
163.0	3.0
164.0	1.0
165.0	3.0
166.0	3.0
167.0	3.0
168.0	6.0
169.0	2.0
170.0	2.0
171.0	2.0
172.0	4.0
173.0	20.0
174.0	3.0
175.0	13.0
176.0	9.0
177.0	6.0
178.0	6.0
179.0	3.0
180.0	2.0
182.0	1.0
185.0	1.0
