#Insert size (bp)	insert size
148.0	1.0
149.0	1.0
151.0	381.0
152.0	766.0
153.0	749.0
154.0	739.0
155.0	739.0
156.0	795.0
157.0	743.0
158.0	747.0
159.0	817.0
160.0	803.0
161.0	790.0
162.0	730.0
163.0	766.0
164.0	803.0
165.0	759.0
166.0	738.0
167.0	776.0
168.0	727.0
169.0	787.0
170.0	769.0
171.0	749.0
172.0	746.0
173.0	773.0
174.0	773.0
175.0	766.0
176.0	743.0
177.0	721.0
178.0	803.0
179.0	740.0
180.0	763.0
181.0	704.0
182.0	803.0
183.0	826.0
184.0	747.0
185.0	829.0
186.0	796.0
187.0	800.0
188.0	898.0
189.0	835.0
190.0	841.0
191.0	820.0
192.0	843.0
193.0	814.0
194.0	799.0
195.0	857.0
196.0	796.0
197.0	871.0
198.0	817.0
199.0	734.0
200.0	875.0
201.0	849.0
202.0	841.0
203.0	819.0
204.0	828.0
205.0	854.0
206.0	861.0
207.0	878.0
208.0	841.0
209.0	859.0
210.0	860.0
211.0	828.0
212.0	871.0
213.0	847.0
214.0	803.0
215.0	882.0
216.0	825.0
217.0	861.0
218.0	851.0
219.0	848.0
220.0	909.0
221.0	846.0
222.0	874.0
223.0	818.0
224.0	859.0
225.0	757.0
226.0	852.0
227.0	841.0
228.0	873.0
229.0	812.0
230.0	822.0
231.0	840.0
232.0	805.0
233.0	824.0
234.0	885.0
235.0	821.0
236.0	759.0
237.0	842.0
238.0	863.0
239.0	760.0
240.0	785.0
241.0	788.0
242.0	736.0
243.0	745.0
244.0	816.0
245.0	762.0
246.0	755.0
247.0	732.0
248.0	791.0
249.0	736.0
250.0	687.0
251.0	715.0
252.0	774.0
253.0	687.0
254.0	683.0
255.0	673.0
256.0	650.0
257.0	633.0
258.0	641.0
259.0	610.0
260.0	576.0
261.0	588.0
262.0	550.0
263.0	574.0
264.0	476.0
265.0	448.0
266.0	362.0
267.0	254.0
268.0	248.0
269.0	184.0
270.0	164.0
271.0	167.0
272.0	154.0
273.0	72.0
274.0	56.0
275.0	63.0
276.0	67.0
277.0	62.0
278.0	53.0
279.0	60.0
280.0	55.0
281.0	59.0
282.0	51.0
283.0	50.0
284.0	47.0
285.0	46.0
286.0	45.0
287.0	45.0
288.0	49.0
289.0	56.0
290.0	58.0
291.0	50.0
292.0	50.0
293.0	55.0
294.0	50.0
295.0	45.0
296.0	56.0
297.0	55.0
298.0	36.0
299.0	51.0
300.0	42.0
301.0	42.0
302.0	33.0
303.0	42.0
304.0	45.0
305.0	42.0
306.0	43.0
307.0	42.0
308.0	31.0
309.0	35.0
310.0	49.0
311.0	28.0
312.0	30.0
313.0	52.0
314.0	34.0
315.0	36.0
316.0	33.0
317.0	25.0
318.0	29.0
319.0	44.0
320.0	38.0
321.0	37.0
322.0	34.0
323.0	25.0
324.0	34.0
325.0	38.0
326.0	26.0
327.0	31.0
328.0	32.0
329.0	32.0
330.0	23.0
331.0	36.0
332.0	26.0
333.0	23.0
334.0	26.0
335.0	20.0
336.0	30.0
337.0	33.0
338.0	21.0
339.0	33.0
340.0	25.0
341.0	17.0
342.0	27.0
343.0	24.0
344.0	25.0
345.0	25.0
346.0	21.0
347.0	28.0
348.0	21.0
349.0	17.0
350.0	29.0
351.0	23.0
352.0	17.0
353.0	27.0
354.0	21.0
355.0	17.0
356.0	23.0
357.0	16.0
358.0	13.0
359.0	28.0
360.0	19.0
361.0	17.0
362.0	18.0
363.0	21.0
364.0	11.0
365.0	14.0
366.0	13.0
367.0	11.0
368.0	14.0
369.0	22.0
370.0	16.0
371.0	12.0
372.0	24.0
373.0	16.0
374.0	18.0
375.0	10.0
376.0	10.0
377.0	16.0
378.0	15.0
379.0	11.0
380.0	11.0
381.0	10.0
382.0	19.0
383.0	10.0
384.0	10.0
385.0	11.0
386.0	10.0
387.0	8.0
388.0	15.0
389.0	15.0
390.0	10.0
391.0	13.0
392.0	12.0
393.0	14.0
394.0	7.0
395.0	12.0
396.0	9.0
397.0	13.0
398.0	7.0
399.0	16.0
400.0	7.0
401.0	9.0
402.0	9.0
403.0	8.0
404.0	12.0
405.0	10.0
406.0	10.0
407.0	11.0
408.0	10.0
409.0	4.0
410.0	11.0
411.0	9.0
412.0	11.0
413.0	14.0
414.0	14.0
415.0	11.0
416.0	11.0
417.0	11.0
418.0	7.0
419.0	5.0
420.0	6.0
421.0	10.0
422.0	5.0
423.0	7.0
424.0	6.0
425.0	4.0
426.0	5.0
427.0	12.0
428.0	12.0
429.0	2.0
430.0	3.0
431.0	11.0
432.0	6.0
433.0	3.0
434.0	4.0
435.0	4.0
436.0	10.0
437.0	7.0
438.0	6.0
439.0	3.0
440.0	9.0
441.0	6.0
442.0	5.0
443.0	6.0
444.0	9.0
445.0	12.0
446.0	5.0
447.0	11.0
448.0	3.0
449.0	4.0
450.0	3.0
451.0	6.0
452.0	2.0
453.0	7.0
454.0	5.0
455.0	4.0
456.0	5.0
457.0	4.0
458.0	6.0
459.0	7.0
460.0	4.0
461.0	5.0
462.0	8.0
463.0	3.0
464.0	3.0
465.0	1.0
466.0	3.0
467.0	7.0
468.0	3.0
469.0	4.0
470.0	3.0
471.0	1.0
472.0	1.0
473.0	7.0
474.0	2.0
475.0	2.0
476.0	3.0
477.0	4.0
478.0	3.0
