#Duplication rate	Coverage
1.0	1727146.0
2.0	779488.0
3.0	323454.0
4.0	176573.0
5.0	90895.0
6.0	53477.0
7.0	31284.0
8.0	19780.0
9.0	12449.0
10.0	8451.0
11.0	5643.0
12.0	3945.0
13.0	2835.0
14.0	2055.0
15.0	1617.0
16.0	1221.0
17.0	952.0
18.0	765.0
19.0	582.0
20.0	526.0
21.0	451.0
22.0	366.0
23.0	291.0
24.0	288.0
25.0	243.0
26.0	238.0
27.0	178.0
28.0	180.0
29.0	161.0
30.0	156.0
31.0	141.0
32.0	134.0
33.0	105.0
34.0	119.0
35.0	85.0
36.0	91.0
37.0	83.0
38.0	75.0
39.0	63.0
40.0	79.0
41.0	67.0
42.0	73.0
43.0	62.0
44.0	56.0
45.0	48.0
46.0	52.0
47.0	43.0
48.0	44.0
49.0	42.0
50.0	1012.0
