#Coverage (X)	Coverage
1.0	99.80607225157634
2.0	99.75805917609496
3.0	99.67530921218497
4.0	99.59345584331138
5.0	99.47469401637971
6.0	99.34378291542271
7.0	99.20028658138595
8.0	99.05329434927148
9.0	98.88181437932798
10.0	98.68432492768632
11.0	98.47170851942136
12.0	98.23642224032777
13.0	97.99428400100189
14.0	97.73311162484819
15.0	97.45826823080002
16.0	97.16676791061688
17.0	96.84153423039449
18.0	96.50210309115533
19.0	96.15417486317672
20.0	95.77605030144923
21.0	95.36533574399498
22.0	94.93307822873949
23.0	94.47872663763289
24.0	94.01005420287149
25.0	93.5183746459375
26.0	93.00392651046445
27.0	92.47106938699633
28.0	91.90663402183333
29.0	91.32156874519058
30.0	90.71862914731756
31.0	90.08858605728913
32.0	89.44328440035683
33.0	88.77746799094028
34.0	88.080797196372
35.0	87.37317807158858
36.0	86.62716164744813
37.0	85.8642333022541
38.0	85.07804283996889
39.0	84.2662295011847
40.0	83.44077804707618
41.0	82.57742283216275
42.0	81.68952229992256
43.0	80.77520100385742
44.0	79.83921336535302
45.0	78.88809054458278
46.0	77.90626962586899
47.0	76.90710082704723
48.0	75.88537731639235
49.0	74.85310853200659
50.0	73.79578444045683
51.0	72.72215712540115
