#Insert size (bp)	insert size
142.0	3.0
144.0	1.0
145.0	3.0
146.0	7.0
147.0	4.0
148.0	6.0
149.0	13.0
150.0	55.0
151.0	12293.0
152.0	23952.0
153.0	24313.0
154.0	24161.0
155.0	23859.0
156.0	24325.0
157.0	24190.0
158.0	24139.0
159.0	24108.0
160.0	23763.0
161.0	24069.0
162.0	24008.0
163.0	24125.0
164.0	23874.0
165.0	23732.0
166.0	23714.0
167.0	23685.0
168.0	23836.0
169.0	23768.0
170.0	23693.0
171.0	23479.0
172.0	23376.0
173.0	23290.0
174.0	23313.0
175.0	23087.0
176.0	23189.0
177.0	23047.0
178.0	22936.0
179.0	23206.0
180.0	23230.0
181.0	22677.0
182.0	22250.0
183.0	22495.0
184.0	22471.0
185.0	22050.0
186.0	22006.0
187.0	21950.0
188.0	22062.0
189.0	21958.0
190.0	21922.0
191.0	21624.0
192.0	21571.0
193.0	21363.0
194.0	21057.0
195.0	21038.0
196.0	20582.0
197.0	20958.0
198.0	20812.0
199.0	20526.0
200.0	20237.0
201.0	20287.0
202.0	20186.0
203.0	20259.0
204.0	19902.0
205.0	19560.0
206.0	19748.0
207.0	19440.0
208.0	19300.0
209.0	19241.0
210.0	19174.0
211.0	19262.0
212.0	19041.0
213.0	18688.0
214.0	18543.0
215.0	18132.0
216.0	18239.0
217.0	17971.0
218.0	17796.0
219.0	17762.0
220.0	17918.0
221.0	17266.0
222.0	17455.0
223.0	16896.0
224.0	17346.0
225.0	16922.0
226.0	16566.0
227.0	16373.0
228.0	16288.0
229.0	15907.0
230.0	15987.0
231.0	16232.0
232.0	15717.0
233.0	15743.0
234.0	15693.0
235.0	15410.0
236.0	15297.0
237.0	14918.0
238.0	14956.0
239.0	14669.0
240.0	14529.0
241.0	14484.0
242.0	14586.0
243.0	14428.0
244.0	14066.0
245.0	13968.0
246.0	13928.0
247.0	13720.0
248.0	13347.0
249.0	13240.0
250.0	13508.0
251.0	13245.0
252.0	13160.0
253.0	12780.0
254.0	12984.0
255.0	12615.0
256.0	12598.0
257.0	12433.0
258.0	12349.0
259.0	12081.0
260.0	12020.0
261.0	12128.0
262.0	11741.0
263.0	11595.0
264.0	11499.0
265.0	11092.0
266.0	10821.0
267.0	10201.0
268.0	9768.0
269.0	9845.0
270.0	9625.0
271.0	9678.0
272.0	9372.0
273.0	9214.0
274.0	9146.0
275.0	9144.0
276.0	9084.0
277.0	8863.0
278.0	8898.0
279.0	8898.0
280.0	8842.0
281.0	8903.0
282.0	8717.0
283.0	8462.0
284.0	8568.0
285.0	8547.0
286.0	8385.0
287.0	8335.0
288.0	8146.0
289.0	8286.0
290.0	8197.0
291.0	8129.0
292.0	8122.0
293.0	8022.0
294.0	7953.0
295.0	7984.0
296.0	7892.0
297.0	7879.0
298.0	7785.0
299.0	7852.0
300.0	7685.0
301.0	7504.0
302.0	7522.0
303.0	7408.0
304.0	7261.0
305.0	7387.0
306.0	7410.0
307.0	7184.0
308.0	7146.0
309.0	7257.0
310.0	7052.0
311.0	6996.0
312.0	7077.0
313.0	6943.0
314.0	6839.0
315.0	6932.0
316.0	6775.0
317.0	6806.0
318.0	6875.0
319.0	6590.0
320.0	6458.0
321.0	6599.0
322.0	6498.0
323.0	6560.0
324.0	6440.0
325.0	6522.0
326.0	6280.0
327.0	6401.0
328.0	6223.0
329.0	6238.0
330.0	6182.0
331.0	5941.0
332.0	6067.0
333.0	6099.0
334.0	5995.0
335.0	6026.0
336.0	5918.0
337.0	5878.0
338.0	5814.0
339.0	5680.0
340.0	5636.0
341.0	5585.0
342.0	5535.0
343.0	5472.0
344.0	5520.0
345.0	5521.0
346.0	5284.0
347.0	5434.0
348.0	5287.0
349.0	5030.0
350.0	5160.0
351.0	5248.0
352.0	5176.0
353.0	5159.0
354.0	4944.0
355.0	5139.0
356.0	4898.0
357.0	4910.0
358.0	4861.0
359.0	4894.0
360.0	4864.0
361.0	4767.0
362.0	4784.0
363.0	4753.0
364.0	4783.0
365.0	4560.0
366.0	4581.0
367.0	4605.0
368.0	4502.0
369.0	4408.0
370.0	4537.0
371.0	4283.0
372.0	4298.0
373.0	4384.0
374.0	4113.0
375.0	4191.0
376.0	4194.0
377.0	3985.0
378.0	4017.0
379.0	4118.0
380.0	4109.0
381.0	3992.0
382.0	3965.0
383.0	3960.0
384.0	3916.0
385.0	4020.0
386.0	3926.0
387.0	3834.0
388.0	3625.0
