#Mapping quality	mapping quality
0.0	236847.0
1.0	146743.0
2.0	39479.0
3.0	29353.0
4.0	22048.0
5.0	19861.0
6.0	18075.0
7.0	18493.0
8.0	21116.0
9.0	24902.0
10.0	32763.0
11.0	22482.0
12.0	15310.0
13.0	14055.0
14.0	13006.0
15.0	12648.0
16.0	12041.0
17.0	11860.0
18.0	11940.0
19.0	13130.0
20.0	13254.0
21.0	16214.0
22.0	19207.0
23.0	17627.0
24.0	17361.0
25.0	18978.0
26.0	19921.0
27.0	19887.0
28.0	19600.0
29.0	19232.0
30.0	19375.0
31.0	18563.0
32.0	19822.0
33.0	20371.0
34.0	23253.0
35.0	26479.0
36.0	33057.0
37.0	39156.0
38.0	55510.0
39.0	97431.0
40.0	233349.0
41.0	743302.0
42.0	2888431.0
43.0	6232785.0
44.0	765212.0
