#Duplication rate	Coverage
1.0	1008797.0
2.0	348609.0
3.0	90734.0
4.0	47722.0
5.0	17487.0
6.0	10220.0
7.0	5037.0
8.0	3180.0
9.0	1882.0
10.0	1301.0
11.0	917.0
12.0	744.0
13.0	513.0
14.0	472.0
15.0	353.0
16.0	290.0
17.0	243.0
18.0	219.0
19.0	165.0
20.0	174.0
21.0	155.0
22.0	138.0
23.0	97.0
24.0	109.0
25.0	106.0
26.0	88.0
27.0	78.0
28.0	63.0
29.0	63.0
30.0	62.0
31.0	54.0
32.0	64.0
33.0	33.0
34.0	34.0
35.0	30.0
36.0	29.0
37.0	26.0
38.0	30.0
39.0	24.0
40.0	20.0
41.0	17.0
42.0	19.0
43.0	19.0
44.0	19.0
45.0	15.0
46.0	15.0
47.0	14.0
48.0	15.0
49.0	9.0
50.0	219.0
