#Insert size (bp)	insert size
144.0	2.0
145.0	1.0
147.0	3.0
148.0	1.0
149.0	11.0
150.0	26.0
151.0	3546.0
152.0	6991.0
153.0	7229.0
154.0	7023.0
155.0	7036.0
156.0	7270.0
157.0	7126.0
158.0	7044.0
159.0	7180.0
160.0	7015.0
161.0	6875.0
162.0	7127.0
163.0	7194.0
164.0	6940.0
165.0	7111.0
166.0	7218.0
167.0	7135.0
168.0	7099.0
169.0	7035.0
170.0	7069.0
171.0	7100.0
172.0	6698.0
173.0	7017.0
174.0	6962.0
175.0	6753.0
176.0	7133.0
177.0	7038.0
178.0	7110.0
179.0	7053.0
180.0	6929.0
181.0	7087.0
182.0	6855.0
183.0	6917.0
184.0	6716.0
185.0	6899.0
186.0	7007.0
187.0	6956.0
188.0	6995.0
189.0	6918.0
190.0	6819.0
191.0	6961.0
192.0	6611.0
193.0	6881.0
194.0	6624.0
195.0	6772.0
196.0	6619.0
197.0	6806.0
198.0	6836.0
199.0	6872.0
200.0	6857.0
201.0	6870.0
202.0	6679.0
203.0	6721.0
204.0	6741.0
205.0	6657.0
206.0	6467.0
207.0	6606.0
208.0	6685.0
209.0	6698.0
210.0	6609.0
211.0	6569.0
212.0	6676.0
213.0	6508.0
214.0	6669.0
215.0	6368.0
216.0	6395.0
217.0	6259.0
218.0	6403.0
219.0	6414.0
220.0	6630.0
221.0	6399.0
222.0	6421.0
223.0	6469.0
224.0	6229.0
225.0	6168.0
226.0	6027.0
227.0	6186.0
228.0	6059.0
229.0	6041.0
230.0	6138.0
231.0	6314.0
232.0	6122.0
233.0	6150.0
234.0	5988.0
235.0	6013.0
236.0	5902.0
237.0	5762.0
238.0	5691.0
239.0	5911.0
240.0	5751.0
241.0	5748.0
242.0	5728.0
243.0	5651.0
244.0	5739.0
245.0	5607.0
246.0	5492.0
247.0	5350.0
248.0	5288.0
249.0	5296.0
250.0	5193.0
251.0	5260.0
252.0	5172.0
253.0	5276.0
254.0	5346.0
255.0	5090.0
256.0	5107.0
257.0	4896.0
258.0	4849.0
259.0	4579.0
260.0	4668.0
261.0	4504.0
262.0	4707.0
263.0	4430.0
264.0	4469.0
265.0	4116.0
266.0	3776.0
267.0	3203.0
268.0	3091.0
269.0	3058.0
270.0	2950.0
271.0	2896.0
272.0	2859.0
