#Mapping quality	mapping quality
0.0	192028.0
1.0	164993.0
2.0	45024.0
3.0	33271.0
4.0	25386.0
5.0	21659.0
6.0	21343.0
7.0	20868.0
8.0	22186.0
9.0	25784.0
10.0	25920.0
11.0	25576.0
12.0	14978.0
13.0	13354.0
14.0	13038.0
15.0	12298.0
16.0	12297.0
17.0	12979.0
18.0	12463.0
19.0	14189.0
20.0	15062.0
21.0	15652.0
22.0	18861.0
23.0	18039.0
24.0	17406.0
25.0	16582.0
26.0	16215.0
27.0	16958.0
28.0	17799.0
29.0	17482.0
30.0	18341.0
31.0	19637.0
32.0	21166.0
33.0	24447.0
34.0	29259.0
35.0	39189.0
36.0	70424.0
37.0	120482.0
38.0	234232.0
39.0	439747.0
40.0	899902.0
41.0	1551329.0
42.0	2189028.0
43.0	3068698.0
44.0	2515177.0
