#Coverage (X)	Coverage
1.0	99.69984630386922
2.0	99.63598241522139
3.0	99.20485181299331
4.0	99.01393464973775
5.0	98.31334844932243
6.0	97.93865398053237
7.0	96.97306225454169
8.0	96.37271373406745
9.0	95.16574052786416
10.0	94.32121380871516
11.0	92.83967688030991
12.0	91.74546078198716
13.0	90.02983851829856
14.0	88.67048528411986
15.0	86.72132057755526
16.0	85.14209591839504
17.0	83.00326434624033
18.0	81.1759214056307
19.0	78.87979087126416
20.0	76.88503965376626
21.0	74.4788911504836
22.0	72.3281570735796
23.0	69.805821369479
24.0	67.52468618145521
25.0	64.92309641152232
26.0	62.588116167459276
27.0	60.015488884894886
28.0	57.6432135775746
29.0	55.092038770743535
30.0	52.758958650106266
31.0	50.26680282846945
32.0	47.996031950040745
33.0	45.62878251030982
34.0	43.44283445771013
35.0	41.2023092668855
36.0	39.14859664369108
37.0	37.05467707978174
38.0	35.14144197981345
39.0	33.20694359389016
40.0	31.40670414543594
41.0	29.635435409992752
42.0	27.991557200501262
43.0	26.363957537588092
44.0	24.86860152972274
45.0	23.38901407859848
46.0	22.033378834845962
47.0	20.7082360479736
48.0	19.48336384361245
49.0	18.298821964604244
50.0	17.206538892277408
51.0	16.147734185071215
