#Insert size (bp)	insert size
144.0	1.0
145.0	1.0
146.0	1.0
147.0	1.0
148.0	2.0
149.0	4.0
150.0	10.0
151.0	7376.0
152.0	14817.0
153.0	14582.0
154.0	14856.0
155.0	14897.0
156.0	15140.0
157.0	14821.0
158.0	14939.0
159.0	14997.0
160.0	14919.0
161.0	14676.0
162.0	14809.0
163.0	14925.0
164.0	14947.0
165.0	15034.0
166.0	15089.0
167.0	15296.0
168.0	15322.0
169.0	15548.0
170.0	15368.0
171.0	15188.0
172.0	15328.0
173.0	15333.0
174.0	15334.0
175.0	15339.0
176.0	15615.0
177.0	15905.0
178.0	16202.0
179.0	16117.0
180.0	16457.0
181.0	16039.0
182.0	16022.0
183.0	16285.0
184.0	16209.0
185.0	16578.0
186.0	16468.0
187.0	16607.0
188.0	17016.0
189.0	17122.0
190.0	17590.0
191.0	17612.0
192.0	17429.0
193.0	17635.0
194.0	17539.0
195.0	17904.0
196.0	17590.0
197.0	17966.0
198.0	18358.0
199.0	18422.0
200.0	18826.0
201.0	19346.0
202.0	19454.0
203.0	19007.0
204.0	19030.0
205.0	18695.0
206.0	18754.0
207.0	18961.0
208.0	19472.0
209.0	19987.0
210.0	20302.0
211.0	20505.0
212.0	20387.0
213.0	20587.0
214.0	20178.0
215.0	20323.0
216.0	20051.0
217.0	20190.0
218.0	20083.0
219.0	20770.0
220.0	21297.0
221.0	21454.0
222.0	21826.0
223.0	21384.0
224.0	21779.0
225.0	21435.0
226.0	20761.0
227.0	20944.0
228.0	21295.0
229.0	21628.0
230.0	22063.0
231.0	22696.0
232.0	23047.0
233.0	22640.0
234.0	22748.0
235.0	22357.0
236.0	21950.0
237.0	21424.0
238.0	21513.0
239.0	21593.0
240.0	22142.0
241.0	22710.0
242.0	22999.0
243.0	23218.0
244.0	22689.0
245.0	22115.0
246.0	21752.0
247.0	21432.0
248.0	20800.0
249.0	20896.0
250.0	20975.0
251.0	21483.0
252.0	22201.0
253.0	22074.0
254.0	21866.0
255.0	21213.0
256.0	20437.0
257.0	19583.0
258.0	18882.0
259.0	18224.0
260.0	17861.0
261.0	17977.0
262.0	18437.0
263.0	18374.0
264.0	17706.0
265.0	15500.0
266.0	12090.0
267.0	7889.0
268.0	5934.0
269.0	5034.0
270.0	4845.0
271.0	4743.0
272.0	4206.0
273.0	611.0
274.0	619.0
275.0	536.0
276.0	531.0
277.0	500.0
278.0	501.0
279.0	517.0
280.0	456.0
281.0	462.0
282.0	495.0
283.0	446.0
284.0	462.0
285.0	426.0
286.0	409.0
287.0	358.0
288.0	425.0
289.0	387.0
290.0	393.0
291.0	355.0
292.0	378.0
293.0	320.0
294.0	355.0
295.0	341.0
296.0	368.0
297.0	327.0
298.0	304.0
299.0	263.0
300.0	307.0
301.0	276.0
302.0	285.0
303.0	303.0
304.0	257.0
305.0	247.0
306.0	263.0
307.0	254.0
308.0	241.0
309.0	251.0
310.0	249.0
311.0	254.0
312.0	238.0
313.0	206.0
314.0	230.0
315.0	200.0
316.0	217.0
317.0	194.0
318.0	232.0
319.0	203.0
320.0	160.0
321.0	196.0
322.0	184.0
323.0	148.0
324.0	179.0
325.0	168.0
326.0	179.0
327.0	185.0
328.0	162.0
329.0	137.0
330.0	137.0
331.0	126.0
332.0	130.0
333.0	147.0
334.0	148.0
335.0	134.0
336.0	153.0
337.0	125.0
338.0	120.0
339.0	128.0
340.0	122.0
341.0	118.0
342.0	112.0
343.0	93.0
344.0	113.0
345.0	92.0
346.0	103.0
347.0	85.0
348.0	112.0
349.0	102.0
350.0	85.0
351.0	77.0
352.0	89.0
353.0	90.0
354.0	70.0
355.0	88.0
356.0	74.0
357.0	71.0
358.0	79.0
359.0	69.0
360.0	87.0
361.0	80.0
362.0	71.0
363.0	81.0
364.0	48.0
365.0	64.0
366.0	61.0
367.0	62.0
368.0	66.0
369.0	68.0
370.0	65.0
371.0	59.0
372.0	59.0
373.0	57.0
374.0	43.0
375.0	40.0
376.0	47.0
377.0	42.0
378.0	49.0
379.0	44.0
380.0	51.0
381.0	46.0
382.0	56.0
383.0	30.0
384.0	39.0
385.0	39.0
386.0	39.0
387.0	39.0
388.0	39.0
389.0	42.0
390.0	35.0
391.0	39.0
392.0	39.0
393.0	45.0
394.0	37.0
395.0	28.0
396.0	32.0
397.0	22.0
398.0	40.0
399.0	36.0
400.0	32.0
401.0	19.0
402.0	34.0
403.0	24.0
404.0	31.0
405.0	26.0
406.0	19.0
407.0	24.0
408.0	19.0
409.0	20.0
410.0	19.0
411.0	26.0
412.0	11.0
413.0	23.0
414.0	26.0
415.0	23.0
416.0	25.0
417.0	26.0
418.0	19.0
419.0	17.0
420.0	9.0
421.0	19.0
422.0	20.0
423.0	24.0
424.0	19.0
425.0	13.0
426.0	21.0
427.0	18.0
428.0	17.0
429.0	16.0
430.0	12.0
431.0	19.0
432.0	12.0
433.0	23.0
434.0	13.0
435.0	12.0
436.0	19.0
437.0	21.0
438.0	14.0
439.0	11.0
440.0	14.0
441.0	14.0
442.0	13.0
443.0	12.0
444.0	16.0
445.0	12.0
446.0	12.0
447.0	13.0
448.0	14.0
449.0	10.0
450.0	11.0
451.0	22.0
452.0	11.0
453.0	13.0
454.0	10.0
455.0	13.0
456.0	11.0
457.0	2.0
458.0	18.0
459.0	14.0
460.0	5.0
461.0	10.0
462.0	11.0
463.0	8.0
464.0	6.0
465.0	9.0
466.0	9.0
467.0	8.0
468.0	7.0
469.0	8.0
470.0	13.0
471.0	7.0
472.0	10.0
473.0	8.0
474.0	10.0
475.0	9.0
476.0	6.0
477.0	6.0
478.0	4.0
479.0	5.0
480.0	4.0
481.0	7.0
482.0	12.0
483.0	6.0
484.0	4.0
