#GC Content (%)	Sample
1.0	0.0
2.0	0.0
3.0	0.0
4.0	0.0
5.0	0.0
6.0	0.0
7.0	0.0
8.0	0.0
9.0	0.0
10.0	0.0
11.0	0.0
12.0	0.0
13.0	0.0
14.0	0.0
15.0	2.2797166768114058E-6
16.0	6.839150030434218E-6
17.0	1.1398583384057028E-5
18.0	2.5076883444925466E-5
19.0	2.735660012173687E-5
20.0	3.191603347535968E-5
21.0	4.331461685941671E-5
22.0	6.155235027390795E-5
23.0	8.206980036521063E-5
24.0	1.2082498387100452E-4
25.0	2.0289478423621512E-4
26.0	1.7097875076085544E-4
27.0	2.735660012173687E-4
28.0	3.3967778484489945E-4
29.0	4.810202188072067E-4
30.0	7.887819701767466E-4
31.0	0.0011717743718810626
32.0	0.0018328922081563702
33.0	0.0031505684473533634
34.0	0.00538469079062854
35.0	0.008701678555389135
36.0	0.013179042108646738
37.0	0.01927956393579406
38.0	0.02660657333506592
39.0	0.03520110520664492
40.0	0.04567184390323971
41.0	0.05473599741024186
42.0	0.06296121518017742
43.0	0.06972969399363046
44.0	0.07434839998085037
45.0	0.07534691588529378
46.0	0.07430052593063734
47.0	0.07099037731590718
48.0	0.06471431730464537
49.0	0.05767227248997495
50.0	0.04937866321973506
51.0	0.045630809003057105
52.0	0.031154608105304675
53.0	0.02772819394005713
54.0	0.02108281982715188
55.0	0.01569812903652334
56.0	0.011831729552651195
57.0	0.008421273404141333
58.0	0.006239584544432818
59.0	0.004326902252588048
60.0	0.003041142046866416
61.0	0.0020608638758375106
62.0	0.0014909347066346594
63.0	0.0010691871214245493
64.0	7.295093365796498E-4
65.0	6.064046360318339E-4
66.0	3.76153251673882E-4
67.0	2.8496458460142577E-4
68.0	2.0289478423621512E-4
69.0	1.6185988405360984E-4
70.0	1.68699034084044E-4
71.0	1.1398583384057032E-4
72.0	9.574810042607907E-5
73.0	6.611178362753078E-5
74.0	6.611178362753076E-5
75.0	4.5594333536228114E-5
76.0	3.647546682898249E-5
77.0	3.191603347535968E-5
78.0	3.87551835057939E-5
79.0	2.2797166768114057E-5
80.0	2.5076883444925466E-5
81.0	1.3678300060868434E-5
82.0	1.1398583384057028E-5
83.0	4.5594333536228116E-6
84.0	4.5594333536228116E-6
85.0	2.2797166768114058E-6
86.0	4.5594333536228116E-6
87.0	4.5594333536228116E-6
88.0	6.839150030434218E-6
89.0	4.5594333536228116E-6
90.0	2.2797166768114058E-6
91.0	0.0
92.0	0.0
93.0	0.0
94.0	2.2797166768114058E-6
95.0	9.118866707245623E-6
96.0	0.0
97.0	0.0
98.0	0.0
99.0	0.0
100.0	5.243348356666234E-5
