#Mapping quality	mapping quality
0.0	421276.0
1.0	63631.0
2.0	33876.0
3.0	26674.0
4.0	23179.0
5.0	24581.0
6.0	26127.0
7.0	29709.0
8.0	29252.0
9.0	28072.0
10.0	23192.0
11.0	22033.0
12.0	21075.0
13.0	20344.0
14.0	20275.0
15.0	19419.0
16.0	19499.0
17.0	18580.0
18.0	18109.0
19.0	17588.0
20.0	16982.0
21.0	17197.0
22.0	44551.0
23.0	26542.0
24.0	36696.0
25.0	38574.0
26.0	53559.0
27.0	67350.0
28.0	114874.0
29.0	164593.0
30.0	253982.0
31.0	367871.0
32.0	585794.0
33.0	805474.0
34.0	1106695.0
35.0	1277501.0
36.0	1462831.0
37.0	1364815.0
38.0	1208537.0
39.0	872537.0
40.0	613428.0
41.0	333069.0
42.0	189800.0
43.0	108604.0
44.0	82268.0
