#Duplication rate	Coverage
1.0	1705139.0
2.0	842998.0
3.0	340753.0
4.0	204618.0
5.0	104099.0
6.0	67033.0
7.0	39483.0
8.0	26616.0
9.0	17029.0
10.0	12427.0
11.0	8547.0
12.0	6291.0
13.0	4525.0
14.0	3600.0
15.0	2636.0
16.0	2153.0
17.0	1710.0
18.0	1435.0
19.0	1171.0
20.0	919.0
21.0	734.0
22.0	669.0
23.0	550.0
24.0	467.0
25.0	454.0
26.0	362.0
27.0	315.0
28.0	323.0
29.0	263.0
30.0	240.0
31.0	185.0
32.0	191.0
33.0	171.0
34.0	167.0
35.0	138.0
36.0	116.0
37.0	125.0
38.0	110.0
39.0	119.0
40.0	94.0
41.0	86.0
42.0	76.0
43.0	80.0
44.0	88.0
45.0	78.0
46.0	51.0
47.0	60.0
48.0	73.0
49.0	41.0
50.0	1329.0
