#Insert size (bp)	insert size
141.0	1.0
142.0	1.0
143.0	1.0
144.0	1.0
145.0	2.0
146.0	5.0
147.0	4.0
148.0	9.0
149.0	23.0
150.0	46.0
151.0	16270.0
152.0	32312.0
153.0	32618.0
154.0	32163.0
155.0	32475.0
156.0	32437.0
157.0	32350.0
158.0	32235.0
159.0	32113.0
160.0	32298.0
161.0	32528.0
162.0	31823.0
163.0	31771.0
164.0	31754.0
165.0	32370.0
166.0	31915.0
167.0	32059.0
168.0	31400.0
169.0	31164.0
170.0	31589.0
171.0	31393.0
172.0	31342.0
173.0	31210.0
174.0	30934.0
175.0	30708.0
176.0	30824.0
177.0	30859.0
178.0	30764.0
179.0	30383.0
180.0	30678.0
181.0	30690.0
182.0	29896.0
183.0	30110.0
184.0	30063.0
185.0	29395.0
186.0	29598.0
187.0	29150.0
188.0	29215.0
189.0	29211.0
190.0	29149.0
191.0	28752.0
192.0	28493.0
193.0	28294.0
194.0	28234.0
195.0	27993.0
196.0	27659.0
197.0	27424.0
198.0	27223.0
199.0	26721.0
200.0	26637.0
201.0	26712.0
202.0	26646.0
203.0	26127.0
204.0	25625.0
205.0	25779.0
206.0	25274.0
207.0	25174.0
208.0	24801.0
209.0	25001.0
210.0	24308.0
211.0	24339.0
212.0	24084.0
213.0	23944.0
214.0	23662.0
215.0	23119.0
216.0	22976.0
217.0	22109.0
218.0	21935.0
219.0	22387.0
220.0	21877.0
221.0	21480.0
222.0	21373.0
223.0	20756.0
224.0	20764.0
225.0	20358.0
226.0	20025.0
227.0	19878.0
228.0	19150.0
229.0	19191.0
230.0	19314.0
231.0	18511.0
232.0	18353.0
233.0	18139.0
234.0	17360.0
235.0	17485.0
236.0	17231.0
237.0	16899.0
238.0	16760.0
239.0	16323.0
240.0	16153.0
241.0	15980.0
242.0	15883.0
243.0	15477.0
244.0	15254.0
245.0	14958.0
246.0	14649.0
247.0	14426.0
248.0	14009.0
249.0	13849.0
250.0	13541.0
251.0	13520.0
252.0	13298.0
253.0	12785.0
254.0	12611.0
255.0	12655.0
256.0	12270.0
257.0	11958.0
258.0	11803.0
259.0	11555.0
260.0	11262.0
261.0	11011.0
262.0	11142.0
263.0	10642.0
264.0	10436.0
265.0	10091.0
266.0	9462.0
267.0	9164.0
268.0	8771.0
269.0	8672.0
270.0	8541.0
271.0	8408.0
272.0	8282.0
273.0	7782.0
274.0	7880.0
275.0	7808.0
276.0	7779.0
277.0	7691.0
278.0	7714.0
279.0	7639.0
280.0	7674.0
281.0	7495.0
