#GC Content (%)	Sample
1.0	0.0
2.0	0.0
3.0	1.9060198778813065E-6
4.0	0.0
5.0	0.0
6.0	9.530099389406532E-7
7.0	1.9060198778813065E-6
8.0	3.812039755762613E-6
9.0	5.7180596336439195E-6
10.0	4.765049694703266E-6
11.0	3.812039755762613E-6
12.0	8.57708945046588E-6
13.0	1.3342139145169145E-5
14.0	1.2389129206228493E-5
15.0	1.1436119267287839E-5
16.0	1.0483109328347187E-5
17.0	2.9543308107160253E-5
18.0	3.907340749656678E-5
19.0	5.718059633643919E-5
20.0	4.097942737444809E-5
21.0	7.909982493207421E-5
22.0	8.195885474889619E-5
23.0	1.2579731194016622E-4
24.0	2.306284052236381E-4
25.0	4.2408942282859066E-4
26.0	5.594168341581634E-4
27.0	0.0010235326744222615
28.0	0.0018011887845978346
29.0	0.0031668520270997907
30.0	0.005450263840801595
31.0	0.009408114117222128
32.0	0.015785656628612983
33.0	0.02458098535509627
34.0	0.03698917476010358
35.0	0.05045329917745712
36.0	0.06488091664307967
37.0	0.07756452592044083
38.0	0.0855316890099847
39.0	0.09012614992561757
40.0	0.08824872034590449
41.0	0.08183877549658966
42.0	0.07305488288937365
43.0	0.062788106817166
44.0	0.050763027407612835
45.0	0.04115764023302999
46.0	0.03295317766868991
47.0	0.02524999833223261
48.0	0.019427107605305215
49.0	0.014906028454970757
50.0	0.011778249835367533
51.0	0.009975155030891818
52.0	0.0058000184883928154
53.0	0.0044276841763182745
54.0	0.0028542647671272563
55.0	0.0019174559971485944
56.0	0.0012598791392795434
57.0	8.157765077331991E-4
58.0	5.718059633643918E-4
59.0	4.250424327675314E-4
60.0	3.059161903999497E-4
61.0	2.9448007113266184E-4
62.0	2.5731268351397637E-4
63.0	1.5819964986414842E-4
64.0	7.528778517631161E-5
65.0	4.860350688597332E-5
66.0	3.0496318046100904E-5
67.0	2.668427829033829E-5
68.0	8.57708945046588E-6
69.0	8.57708945046588E-6
70.0	9.530099389406534E-6
71.0	9.530099389406534E-6
72.0	5.7180596336439195E-6
73.0	6.671069572584573E-6
74.0	3.812039755762613E-6
75.0	2.8590298168219597E-6
76.0	1.9060198778813065E-6
77.0	9.530099389406532E-7
78.0	1.9060198778813065E-6
79.0	9.530099389406532E-7
80.0	2.8590298168219597E-6
81.0	0.0
82.0	0.0
83.0	0.0
84.0	9.530099389406532E-7
85.0	0.0
86.0	0.0
87.0	9.530099389406532E-7
88.0	1.9060198778813065E-6
89.0	0.0
90.0	9.530099389406532E-7
91.0	0.0
92.0	0.0
93.0	0.0
94.0	2.8590298168219597E-6
95.0	9.530099389406532E-7
96.0	0.0
97.0	0.0
98.0	0.0
99.0	0.0
100.0	8.577089450465878E-6
