#Mapping quality	mapping quality
0.0	250758.0
1.0	137889.0
2.0	41815.0
3.0	28939.0
4.0	23032.0
5.0	19398.0
6.0	18793.0
7.0	19497.0
8.0	21002.0
9.0	25800.0
10.0	31809.0
11.0	21437.0
12.0	15763.0
13.0	14546.0
14.0	13637.0
15.0	13292.0
16.0	13003.0
17.0	12684.0
18.0	13092.0
19.0	14679.0
20.0	15044.0
21.0	18407.0
22.0	19621.0
23.0	18163.0
24.0	20241.0
25.0	19743.0
26.0	18565.0
27.0	18092.0
28.0	19413.0
29.0	19319.0
30.0	19774.0
31.0	19184.0
32.0	20292.0
33.0	21817.0
34.0	25715.0
35.0	29809.0
36.0	40819.0
37.0	55680.0
38.0	97686.0
39.0	205488.0
40.0	532900.0
41.0	1505773.0
42.0	3864855.0
43.0	4451868.0
44.0	302066.0
