#Duplication rate	Coverage
1.0	742336.0
2.0	792091.0
3.0	190531.0
4.0	272603.0
5.0	81778.0
6.0	116034.0
7.0	41575.0
8.0	55900.0
9.0	23222.0
10.0	30091.0
11.0	14132.0
12.0	17655.0
13.0	8892.0
14.0	10660.0
15.0	5890.0
16.0	7128.0
17.0	3930.0
18.0	4634.0
19.0	2764.0
20.0	3201.0
21.0	2013.0
22.0	2235.0
23.0	1489.0
24.0	1691.0
25.0	1105.0
26.0	1249.0
27.0	859.0
28.0	990.0
29.0	685.0
30.0	768.0
31.0	519.0
32.0	588.0
33.0	397.0
34.0	486.0
35.0	331.0
36.0	361.0
37.0	287.0
38.0	272.0
39.0	238.0
40.0	266.0
41.0	193.0
42.0	222.0
43.0	174.0
44.0	177.0
45.0	150.0
46.0	176.0
47.0	108.0
48.0	150.0
49.0	120.0
50.0	3385.0
