#GC Content (%)	Sample
1.0	0.0
2.0	0.0
3.0	0.0
4.0	0.0
5.0	0.0
6.0	0.0
7.0	0.0
8.0	0.0
9.0	0.0
10.0	0.0
11.0	0.0
12.0	0.0
13.0	1.2564139934364932E-6
14.0	0.0
15.0	1.2564139934364932E-6
16.0	0.0
17.0	0.0
18.0	1.2564139934364932E-6
19.0	0.0
20.0	8.794897954055453E-6
21.0	1.2564139934364932E-6
22.0	2.5128279868729864E-6
23.0	0.0
24.0	1.2564139934364932E-6
25.0	1.1307725940928439E-5
26.0	2.5128279868729864E-6
27.0	2.5128279868729864E-6
28.0	1.2564139934364932E-6
29.0	1.88462099015474E-5
30.0	2.010262389498389E-5
31.0	2.387186587529337E-5
32.0	5.151297373089622E-5
33.0	9.800029148804647E-5
34.0	3.982832359193684E-4
35.0	8.593871715105614E-4
36.0	0.002177365450625443
37.0	0.004824629734796135
38.0	0.010057594017459127
39.0	0.017905155820463467
40.0	0.028422597359520352
41.0	0.041809688459586186
42.0	0.055111343408098354
43.0	0.06768804748239764
44.0	0.0777531799838174
45.0	0.08274993843571432
46.0	0.08454535403233505
47.0	0.08158147342181837
48.0	0.07607209806059936
49.0	0.0677797657039185
50.0	0.05956407460083728
51.0	0.05521939501153387
52.0	0.037367008578794755
53.0	0.03290925173008207
54.0	0.026563104649234344
55.0	0.020443112087205183
56.0	0.01556822579267159
57.0	0.012116856552701543
58.0	0.009117796350368633
59.0	0.0069781233195462845
60.0	0.005346041542072279
61.0	0.004100935274576714
62.0	0.003060624488011298
63.0	0.0023746224475949726
64.0	0.001795415596620749
65.0	0.001230029299574327
66.0	0.0010579005824735274
67.0	8.154126817402842E-4
68.0	6.118736148035722E-4
69.0	4.874886294533594E-4
70.0	4.5356545163057404E-4
71.0	3.480266761819086E-4
72.0	3.3546253624754373E-4
73.0	2.3494941677262423E-4
74.0	2.475135567069892E-4
75.0	2.035390669367119E-4
76.0	1.7464154508767255E-4
77.0	1.507696792123792E-4
78.0	1.2438498535021283E-4
79.0	1.3443629729770478E-4
80.0	1.1559008739615738E-4
81.0	9.800029148804647E-5
82.0	9.54874635011735E-5
83.0	6.910276963900714E-5
84.0	7.035918363244361E-5
85.0	6.658994165213414E-5
86.0	5.4025801717769204E-5
87.0	4.5230903763713754E-5
88.0	2.889752184903934E-5
89.0	3.0153935842475834E-5
90.0	2.638469386216636E-5
91.0	2.5128279868729863E-5
92.0	2.387186587529337E-5
93.0	1.633338191467441E-5
94.0	7.5384839606189585E-6
95.0	7.538483960618959E-6
96.0	1.3820553927801424E-5
97.0	1.2564139934364932E-6
98.0	8.794897954055451E-6
99.0	6.282069967182466E-6
100.0	7.161559762588012E-5
