#Mapping quality	mapping quality
0.0	411974.0
1.0	77007.0
2.0	35985.0
3.0	26346.0
4.0	22614.0
5.0	21940.0
6.0	22953.0
7.0	27214.0
8.0	27695.0
9.0	25832.0
10.0	20409.0
11.0	23021.0
12.0	17784.0
13.0	16120.0
14.0	17079.0
15.0	16838.0
16.0	17130.0
17.0	17098.0
18.0	18280.0
19.0	17215.0
20.0	16067.0
21.0	16998.0
22.0	312120.0
23.0	109919.0
24.0	162836.0
25.0	158721.0
26.0	195763.0
27.0	195457.0
28.0	267854.0
29.0	335359.0
30.0	366756.0
31.0	417440.0
32.0	526178.0
33.0	638189.0
34.0	754540.0
35.0	847723.0
36.0	1028277.0
37.0	1051621.0
38.0	1048085.0
39.0	864091.0
40.0	617897.0
41.0	329139.0
42.0	158902.0
43.0	59443.0
44.0	286850.0
