#Insert size (bp)	insert size
141.0	2.0
143.0	3.0
146.0	2.0
147.0	2.0
148.0	6.0
149.0	10.0
150.0	32.0
151.0	7891.0
152.0	15486.0
153.0	15443.0
154.0	15350.0
155.0	15601.0
156.0	15561.0
157.0	15849.0
158.0	15634.0
159.0	15663.0
160.0	15266.0
161.0	15502.0
162.0	15498.0
163.0	15511.0
164.0	15429.0
165.0	15821.0
166.0	15559.0
167.0	15647.0
168.0	15344.0
169.0	15461.0
170.0	15047.0
171.0	14855.0
172.0	15168.0
173.0	14891.0
174.0	14951.0
175.0	15034.0
176.0	15112.0
177.0	15187.0
178.0	15010.0
179.0	14872.0
180.0	14829.0
181.0	14635.0
182.0	14667.0
183.0	14465.0
184.0	14418.0
185.0	14565.0
186.0	14624.0
187.0	14479.0
188.0	14355.0
189.0	14351.0
190.0	14400.0
191.0	13989.0
192.0	14128.0
193.0	13948.0
194.0	13665.0
195.0	14039.0
196.0	13692.0
197.0	13880.0
198.0	13558.0
199.0	13657.0
200.0	13617.0
201.0	13540.0
202.0	13375.0
203.0	13102.0
204.0	12957.0
205.0	12903.0
206.0	13102.0
207.0	12837.0
208.0	13083.0
209.0	12988.0
210.0	12565.0
211.0	12568.0
212.0	12545.0
213.0	12404.0
214.0	12118.0
215.0	12172.0
216.0	12035.0
217.0	12054.0
218.0	12065.0
219.0	12107.0
220.0	11875.0
221.0	11932.0
222.0	11766.0
223.0	11382.0
224.0	11382.0
225.0	11483.0
226.0	11315.0
227.0	11363.0
228.0	11244.0
229.0	11255.0
230.0	11312.0
231.0	11282.0
232.0	11004.0
233.0	10929.0
234.0	10944.0
235.0	10559.0
236.0	10839.0
237.0	10531.0
238.0	10615.0
239.0	10371.0
240.0	10401.0
241.0	10374.0
242.0	10348.0
243.0	10293.0
244.0	10240.0
245.0	9751.0
246.0	9974.0
247.0	9918.0
248.0	10016.0
249.0	9873.0
250.0	9889.0
251.0	9714.0
252.0	9756.0
253.0	9645.0
254.0	9658.0
255.0	9491.0
256.0	9195.0
257.0	9384.0
258.0	9345.0
259.0	9085.0
260.0	9157.0
261.0	8877.0
262.0	8965.0
263.0	8922.0
264.0	8926.0
265.0	8574.0
266.0	8537.0
267.0	8084.0
268.0	8097.0
269.0	7867.0
270.0	8084.0
271.0	8225.0
272.0	7993.0
273.0	7631.0
274.0	7648.0
275.0	7508.0
276.0	7476.0
277.0	7656.0
278.0	7614.0
279.0	7483.0
280.0	7405.0
281.0	7444.0
282.0	7502.0
283.0	7228.0
284.0	7295.0
285.0	7266.0
286.0	7149.0
287.0	7146.0
288.0	7077.0
289.0	7231.0
290.0	6870.0
291.0	7143.0
292.0	6851.0
293.0	6802.0
294.0	6980.0
295.0	6754.0
296.0	6780.0
297.0	6749.0
298.0	6731.0
299.0	6702.0
300.0	6609.0
301.0	6511.0
302.0	6410.0
303.0	6720.0
304.0	6689.0
305.0	6527.0
306.0	6552.0
307.0	6320.0
308.0	6370.0
309.0	6458.0
310.0	6302.0
311.0	6317.0
312.0	6196.0
313.0	6392.0
314.0	6184.0
315.0	6125.0
316.0	6142.0
317.0	5982.0
318.0	6017.0
319.0	6114.0
320.0	6050.0
321.0	6043.0
322.0	5882.0
323.0	5986.0
324.0	5956.0
325.0	5761.0
326.0	5683.0
327.0	5812.0
328.0	5728.0
329.0	5625.0
330.0	5688.0
331.0	5680.0
332.0	5588.0
333.0	5623.0
334.0	5681.0
335.0	5511.0
336.0	5626.0
337.0	5616.0
338.0	5386.0
339.0	5418.0
340.0	5388.0
341.0	5237.0
342.0	5406.0
343.0	5326.0
344.0	5116.0
345.0	5160.0
346.0	5291.0
347.0	5259.0
348.0	5073.0
349.0	5124.0
350.0	5053.0
351.0	5034.0
352.0	4889.0
353.0	4921.0
354.0	4935.0
355.0	5026.0
356.0	4956.0
357.0	4905.0
358.0	4787.0
359.0	4931.0
360.0	4732.0
361.0	4802.0
362.0	4674.0
363.0	4667.0
364.0	4579.0
365.0	4671.0
366.0	4728.0
367.0	4669.0
368.0	4458.0
369.0	4580.0
370.0	4390.0
371.0	4554.0
372.0	4372.0
373.0	4515.0
374.0	4378.0
375.0	4332.0
376.0	4222.0
377.0	4165.0
378.0	4201.0
379.0	4289.0
380.0	4269.0
381.0	4283.0
382.0	4200.0
383.0	4094.0
384.0	4073.0
385.0	4007.0
386.0	4060.0
387.0	4037.0
388.0	4094.0
389.0	3970.0
390.0	3879.0
391.0	3972.0
392.0	3954.0
393.0	3900.0
394.0	3872.0
395.0	3846.0
396.0	3902.0
397.0	3839.0
398.0	3835.0
399.0	3793.0
400.0	3771.0
401.0	3815.0
402.0	3683.0
403.0	3622.0
404.0	3735.0
405.0	3594.0
406.0	3594.0
407.0	3625.0
408.0	3619.0
409.0	3556.0
410.0	3630.0
411.0	3532.0
412.0	3448.0
413.0	3486.0
414.0	3440.0
415.0	3455.0
416.0	3521.0
417.0	3404.0
418.0	3392.0
419.0	3387.0
420.0	3290.0
421.0	3291.0
422.0	3324.0
423.0	3261.0
424.0	3250.0
425.0	3236.0
426.0	3272.0
427.0	3190.0
428.0	3349.0
429.0	3169.0
430.0	3218.0
431.0	3125.0
432.0	3079.0
433.0	3138.0
434.0	3106.0
435.0	3004.0
436.0	3039.0
437.0	3002.0
438.0	2974.0
439.0	2864.0
440.0	2875.0
441.0	3066.0
442.0	2980.0
443.0	2991.0
444.0	2856.0
445.0	2929.0
446.0	2830.0
447.0	2812.0
448.0	2862.0
449.0	2833.0
450.0	2675.0
451.0	2726.0
452.0	2824.0
453.0	2690.0
454.0	2755.0
455.0	2664.0
456.0	2704.0
457.0	2607.0
458.0	2570.0
459.0	2593.0
460.0	2495.0
461.0	2594.0
462.0	2506.0
463.0	2550.0
464.0	2494.0
465.0	2568.0
466.0	2441.0
467.0	2485.0
468.0	2456.0
469.0	2552.0
470.0	2328.0
471.0	2507.0
472.0	2393.0
473.0	2426.0
474.0	2484.0
475.0	2383.0
476.0	2364.0
477.0	2321.0
478.0	2436.0
479.0	2347.0
480.0	2300.0
481.0	2341.0
482.0	2310.0
483.0	2193.0
484.0	2258.0
485.0	2149.0
486.0	2260.0
487.0	2185.0
488.0	2233.0
489.0	2093.0
490.0	2168.0
491.0	2142.0
492.0	2116.0
493.0	2142.0
494.0	2051.0
495.0	2153.0
496.0	2078.0
497.0	2091.0
498.0	2077.0
499.0	2029.0
500.0	2035.0
501.0	1954.0
502.0	2008.0
503.0	1965.0
504.0	2007.0
505.0	1934.0
506.0	2042.0
507.0	1922.0
508.0	1919.0
509.0	1940.0
510.0	1923.0
511.0	1937.0
512.0	1894.0
513.0	1853.0
514.0	1831.0
515.0	1857.0
516.0	1899.0
517.0	1842.0
518.0	1741.0
519.0	1784.0
520.0	1775.0
