#GC Content (%)	Sample
1.0	0.0
2.0	0.0
3.0	0.0
4.0	0.0
5.0	0.0
6.0	0.0
7.0	0.0
8.0	0.0
9.0	0.0
10.0	4.9493924620752804E-6
11.0	0.0
12.0	0.0
13.0	1.2373481155188201E-6
14.0	2.4746962310376402E-6
15.0	4.9493924620752804E-6
16.0	4.9493924620752804E-6
17.0	9.898784924150561E-6
18.0	1.85602217327823E-5
19.0	2.7221658541414043E-5
20.0	5.5680665198346894E-5
21.0	8.785171620183621E-5
22.0	1.8931426167437945E-4
23.0	4.380212328936623E-4
24.0	7.411715211957732E-4
25.0	0.0015293622707812616
26.0	0.00211833997376822
27.0	0.004101809002944889
28.0	0.007052884258457274
29.0	0.01052735776683412
30.0	0.015673488579276893
31.0	0.022426934593778612
32.0	0.03021109158850751
33.0	0.038758692370511515
34.0	0.04812046821252692
35.0	0.05690192778836398
36.0	0.06518968546610904
37.0	0.07012546709891361
38.0	0.07405775941003243
39.0	0.07477665866514886
40.0	0.07228587690860946
41.0	0.06771635031799846
42.0	0.0616236481971838
43.0	0.05458932416045931
44.0	0.046493355440619666
45.0	0.0389022247519117
46.0	0.031796134524487124
47.0	0.02524313890469945
48.0	0.01966641094805613
49.0	0.01514390358583484
50.0	0.012418025687346877
51.0	0.010914647726991512
52.0	0.006333985003340839
53.0	0.004560865153802371
54.0	0.002954787299858943
55.0	0.00187705709124205
56.0	0.0013289118760672126
57.0	8.265485411665718E-4
58.0	5.766042218317702E-4
59.0	4.60293498973001E-4
60.0	3.09337028879705E-4
61.0	2.6355514860550866E-4
62.0	2.4004553441065108E-4
63.0	1.521938182088149E-4
64.0	5.56806651983469E-5
65.0	3.093370288797051E-5
66.0	2.2272266079338765E-5
67.0	1.9797569848301122E-5
68.0	2.4746962310376402E-6
69.0	3.7120443465564603E-6
70.0	0.0
71.0	0.0
72.0	1.2373481155188201E-6
73.0	1.2373481155188201E-6
74.0	2.4746962310376402E-6
75.0	2.4746962310376402E-6
76.0	1.2373481155188201E-6
77.0	0.0
78.0	3.7120443465564603E-6
79.0	0.0
80.0	0.0
81.0	0.0
82.0	0.0
83.0	1.2373481155188201E-6
84.0	1.2373481155188201E-6
85.0	0.0
86.0	0.0
87.0	0.0
88.0	0.0
89.0	0.0
90.0	0.0
91.0	1.2373481155188201E-6
92.0	0.0
93.0	0.0
94.0	0.0
95.0	0.0
96.0	0.0
97.0	0.0
98.0	0.0
99.0	0.0
100.0	1.361082927070702E-5
