#Mapping quality	mapping quality
0.0	152128.0
1.0	209098.0
2.0	42237.0
3.0	30841.0
4.0	23876.0
5.0	20375.0
6.0	20173.0
7.0	18643.0
8.0	20844.0
9.0	23237.0
10.0	31693.0
11.0	25044.0
12.0	15986.0
13.0	13393.0
14.0	11772.0
15.0	11563.0
16.0	11356.0
17.0	11067.0
18.0	11453.0
19.0	11303.0
20.0	11772.0
21.0	13744.0
22.0	15642.0
23.0	15457.0
24.0	17644.0
25.0	17071.0
26.0	17371.0
27.0	17576.0
28.0	17792.0
29.0	16960.0
30.0	16447.0
31.0	16785.0
32.0	17301.0
33.0	16772.0
34.0	17852.0
35.0	18832.0
36.0	22352.0
37.0	23927.0
38.0	30792.0
39.0	42959.0
40.0	74780.0
41.0	257112.0
42.0	1530433.0
43.0	7349653.0
44.0	1747217.0
