#Mapping quality	mapping quality
0.0	216789.0
1.0	198232.0
2.0	37145.0
3.0	27933.0
4.0	20648.0
5.0	18328.0
6.0	18635.0
7.0	19775.0
8.0	20611.0
9.0	26254.0
10.0	18842.0
11.0	31462.0
12.0	14391.0
13.0	14047.0
14.0	14299.0
15.0	14696.0
16.0	15010.0
17.0	15465.0
18.0	15665.0
19.0	15652.0
20.0	16445.0
21.0	17882.0
22.0	22115.0
23.0	18977.0
24.0	19962.0
25.0	17463.0
26.0	19548.0
27.0	18457.0
28.0	23536.0
29.0	27640.0
30.0	30033.0
31.0	32550.0
32.0	45451.0
33.0	75447.0
34.0	100248.0
35.0	125433.0
36.0	250731.0
37.0	322728.0
38.0	502202.0
39.0	678217.0
40.0	1114244.0
41.0	1178691.0
42.0	1412692.0
43.0	2314085.0
44.0	2955930.0
