#Coverage (X)	Coverage
1.0	88.86802408961672
2.0	87.0962371386938
3.0	81.61309785512259
4.0	80.08193562529895
5.0	76.07617932065241
6.0	74.66595871303242
7.0	71.42878999564452
8.0	70.10998917916724
9.0	67.36162926946835
10.0	66.13582756750066
11.0	63.74079190728385
12.0	62.56999507695294
13.0	60.45460658602521
14.0	59.31943501351679
15.0	57.40286030267897
16.0	56.319419796078094
17.0	54.603633019538776
18.0	53.57333016371907
19.0	51.99937814142429
20.0	51.00140206077022
21.0	49.555696031250854
22.0	48.600287650719466
23.0	47.263234133455285
24.0	46.35159439685681
25.0	45.09984901833125
26.0	44.23349144389227
27.0	43.079261057628436
28.0	42.24002342662994
29.0	41.13493302887488
30.0	40.317534478808895
31.0	39.26968632746036
32.0	38.4923137539735
33.0	37.50067964371452
34.0	36.74979363919289
35.0	35.82365209480382
36.0	35.10013280299874
37.0	34.22483395512336
38.0	33.53462851558821
39.0	32.71138975932182
40.0	32.0384088152566
41.0	31.25583763568713
42.0	30.609861476066897
43.0	29.865432600935847
44.0	29.234624526151592
45.0	28.529530673626667
46.0	27.93282611279578
47.0	27.258093106870433
48.0	26.685810478728285
49.0	26.04452293535344
50.0	25.48131319092826
51.0	24.862267784970186
