#Insert size (bp)	insert size
141.0	1.0
142.0	3.0
143.0	1.0
144.0	3.0
146.0	4.0
147.0	5.0
148.0	7.0
149.0	9.0
150.0	23.0
151.0	7813.0
152.0	14645.0
153.0	15122.0
154.0	14999.0
155.0	15113.0
156.0	14869.0
157.0	14883.0
158.0	14923.0
159.0	15169.0
160.0	15219.0
161.0	15451.0
162.0	15314.0
163.0	15224.0
164.0	15216.0
165.0	15271.0
166.0	15539.0
167.0	15251.0
168.0	15553.0
169.0	15943.0
170.0	15845.0
171.0	16144.0
172.0	16156.0
173.0	16324.0
174.0	16331.0
175.0	16192.0
176.0	16482.0
177.0	16896.0
178.0	16769.0
179.0	16518.0
180.0	17386.0
181.0	17183.0
182.0	17583.0
183.0	17529.0
184.0	18163.0
185.0	18043.0
186.0	18293.0
187.0	18026.0
188.0	18652.0
189.0	18700.0
190.0	18916.0
191.0	19357.0
192.0	19282.0
193.0	19568.0
194.0	19312.0
195.0	19979.0
196.0	20053.0
197.0	20235.0
198.0	20343.0
199.0	20320.0
200.0	20460.0
201.0	21088.0
202.0	21230.0
203.0	21548.0
204.0	21514.0
205.0	21583.0
206.0	22270.0
207.0	21592.0
208.0	22100.0
209.0	22172.0
210.0	22163.0
211.0	22581.0
212.0	22587.0
213.0	23293.0
214.0	23142.0
215.0	23156.0
216.0	23132.0
217.0	23392.0
218.0	22787.0
219.0	23079.0
220.0	24100.0
221.0	23670.0
222.0	23510.0
223.0	23756.0
224.0	23580.0
225.0	23605.0
226.0	23693.0
227.0	24123.0
228.0	23259.0
229.0	22904.0
230.0	23316.0
231.0	23490.0
232.0	22849.0
233.0	23214.0
234.0	23806.0
235.0	23556.0
236.0	22828.0
237.0	23003.0
238.0	23422.0
239.0	21696.0
240.0	21907.0
241.0	22221.0
242.0	21950.0
243.0	22024.0
244.0	21702.0
245.0	21239.0
246.0	21103.0
247.0	20977.0
248.0	20619.0
249.0	20089.0
250.0	19920.0
251.0	19649.0
252.0	19600.0
253.0	18733.0
254.0	18900.0
255.0	18793.0
256.0	17836.0
257.0	17515.0
258.0	17224.0
259.0	16278.0
260.0	15561.0
261.0	14946.0
262.0	15016.0
263.0	14689.0
264.0	13508.0
265.0	11831.0
266.0	8769.0
267.0	5680.0
268.0	4234.0
269.0	3800.0
270.0	3368.0
271.0	3087.0
272.0	2519.0
273.0	670.0
274.0	681.0
275.0	649.0
276.0	653.0
277.0	648.0
278.0	594.0
279.0	590.0
280.0	576.0
281.0	583.0
282.0	594.0
283.0	567.0
284.0	569.0
285.0	561.0
286.0	604.0
287.0	583.0
288.0	468.0
289.0	502.0
290.0	523.0
291.0	504.0
292.0	479.0
293.0	439.0
294.0	435.0
295.0	463.0
296.0	459.0
297.0	431.0
298.0	474.0
299.0	416.0
300.0	385.0
301.0	378.0
302.0	386.0
303.0	390.0
304.0	373.0
305.0	392.0
306.0	389.0
307.0	365.0
308.0	320.0
309.0	340.0
310.0	339.0
311.0	321.0
312.0	349.0
313.0	324.0
314.0	345.0
315.0	323.0
316.0	324.0
317.0	324.0
318.0	293.0
319.0	303.0
320.0	295.0
321.0	290.0
322.0	285.0
323.0	310.0
324.0	278.0
325.0	307.0
326.0	253.0
327.0	278.0
328.0	281.0
329.0	238.0
330.0	267.0
331.0	271.0
332.0	271.0
333.0	282.0
334.0	238.0
335.0	224.0
336.0	228.0
337.0	238.0
338.0	264.0
339.0	197.0
340.0	198.0
341.0	223.0
342.0	214.0
343.0	213.0
344.0	217.0
345.0	226.0
346.0	188.0
347.0	187.0
348.0	175.0
349.0	179.0
350.0	180.0
351.0	206.0
352.0	167.0
353.0	176.0
354.0	179.0
355.0	169.0
356.0	185.0
357.0	172.0
358.0	160.0
359.0	178.0
360.0	169.0
361.0	166.0
362.0	153.0
363.0	156.0
364.0	147.0
365.0	135.0
366.0	112.0
367.0	149.0
368.0	151.0
369.0	149.0
370.0	126.0
371.0	113.0
372.0	130.0
373.0	131.0
374.0	146.0
375.0	128.0
376.0	118.0
377.0	116.0
378.0	121.0
379.0	100.0
380.0	141.0
381.0	124.0
382.0	133.0
383.0	109.0
384.0	97.0
385.0	116.0
386.0	98.0
387.0	108.0
388.0	93.0
389.0	101.0
390.0	96.0
391.0	108.0
392.0	99.0
393.0	109.0
394.0	108.0
395.0	104.0
396.0	83.0
397.0	85.0
398.0	105.0
399.0	91.0
400.0	99.0
401.0	68.0
402.0	87.0
403.0	82.0
404.0	79.0
405.0	91.0
406.0	77.0
407.0	73.0
408.0	61.0
409.0	77.0
410.0	67.0
411.0	82.0
412.0	64.0
413.0	95.0
414.0	81.0
415.0	71.0
416.0	71.0
417.0	84.0
418.0	60.0
419.0	63.0
420.0	63.0
421.0	73.0
422.0	49.0
423.0	58.0
424.0	54.0
425.0	72.0
426.0	66.0
427.0	65.0
428.0	59.0
429.0	75.0
430.0	57.0
431.0	50.0
432.0	56.0
433.0	68.0
434.0	63.0
435.0	56.0
436.0	58.0
437.0	66.0
438.0	56.0
439.0	65.0
440.0	38.0
441.0	66.0
442.0	63.0
443.0	63.0
444.0	59.0
445.0	34.0
446.0	44.0
447.0	53.0
448.0	55.0
449.0	44.0
450.0	40.0
451.0	72.0
452.0	56.0
453.0	43.0
454.0	59.0
455.0	23.0
456.0	48.0
457.0	50.0
458.0	44.0
459.0	38.0
460.0	53.0
461.0	44.0
462.0	37.0
463.0	40.0
464.0	38.0
465.0	50.0
466.0	37.0
467.0	34.0
468.0	46.0
469.0	31.0
470.0	33.0
471.0	30.0
472.0	29.0
473.0	39.0
474.0	43.0
475.0	48.0
476.0	52.0
477.0	36.0
478.0	23.0
