#Mapping quality	mapping quality
0.0	404384.0
1.0	76778.0
2.0	32437.0
3.0	23185.0
4.0	20370.0
5.0	21539.0
6.0	22301.0
7.0	23399.0
8.0	23468.0
9.0	24977.0
10.0	19345.0
11.0	25197.0
12.0	17735.0
13.0	15307.0
14.0	16720.0
15.0	16296.0
16.0	15940.0
17.0	16178.0
18.0	16350.0
19.0	15522.0
20.0	14762.0
21.0	16154.0
22.0	389745.0
23.0	96745.0
24.0	187604.0
25.0	144115.0
26.0	197325.0
27.0	191689.0
28.0	325740.0
29.0	350679.0
30.0	373663.0
31.0	409861.0
32.0	512391.0
33.0	610585.0
34.0	672657.0
35.0	702264.0
36.0	881642.0
37.0	785217.0
38.0	763567.0
39.0	607310.0
40.0	480768.0
41.0	317450.0
42.0	249445.0
43.0	115094.0
44.0	559879.0
