#Coverage	Number of genomic locations
0.0	624645.0
1.0	248841.0
2.0	341842.0
3.0	192696.0
4.0	247207.0
5.0	159714.0
6.0	192319.0
7.0	138656.0
8.0	164415.0
9.0	119250.0
10.0	142851.0
11.0	110602.0
12.0	132061.0
13.0	104427.0
14.0	121856.0
15.0	98667.0
16.0	111339.0
17.0	94192.0
18.0	104345.0
19.0	88843.0
20.0	98145.0
21.0	87035.0
22.0	97076.0
23.0	85575.0
24.0	92354.0
25.0	79858.0
26.0	87523.0
27.0	77564.0
28.0	85969.0
29.0	76263.0
30.0	80218.0
31.0	73776.0
32.0	77664.0
33.0	72665.0
34.0	75952.0
35.0	69937.0
36.0	72931.0
37.0	68398.0
38.0	70902.0
39.0	67433.0
40.0	69848.0
41.0	65088.0
42.0	68478.0
43.0	65170.0
44.0	67673.0
45.0	62783.0
46.0	66122.0
47.0	62184.0
48.0	64994.0
49.0	61077.0
50.0	63541.0
51.0	60662.0
52.0	62018.0
53.0	59528.0
54.0	60928.0
55.0	57811.0
56.0	60062.0
57.0	58056.0
58.0	58878.0
59.0	57117.0
60.0	59442.0
61.0	55528.0
62.0	57191.0
63.0	55525.0
64.0	55789.0
65.0	54984.0
66.0	54844.0
67.0	53547.0
68.0	53427.0
69.0	52165.0
70.0	52757.0
71.0	51486.0
72.0	52232.0
73.0	51229.0
74.0	51028.0
75.0	49724.0
76.0	50447.0
77.0	49147.0
78.0	49516.0
79.0	48572.0
80.0	49172.0
81.0	47514.0
82.0	48418.0
83.0	47123.0
84.0	47218.0
85.0	46390.0
86.0	46248.0
87.0	45587.0
88.0	45518.0
89.0	45359.0
90.0	46197.0
91.0	43993.0
92.0	44001.0
93.0	43225.0
94.0	43126.0
95.0	42658.0
96.0	42973.0
97.0	42106.0
98.0	42381.0
99.0	42175.0
100.0	41340.0
101.0	40096.0
102.0	40296.0
103.0	39364.0
104.0	40044.0
105.0	39315.0
106.0	38948.0
107.0	38381.0
108.0	39230.0
109.0	37933.0
110.0	38439.0
111.0	37922.0
112.0	38229.0
113.0	37657.0
114.0	37613.0
115.0	36249.0
116.0	36187.0
117.0	35740.0
118.0	36037.0
119.0	35008.0
120.0	34830.0
121.0	34542.0
122.0	34467.0
123.0	33617.0
124.0	33858.0
125.0	33119.0
126.0	33270.0
127.0	33343.0
128.0	32873.0
129.0	32509.0
130.0	31796.0
131.0	31614.0
132.0	31873.0
133.0	31340.0
134.0	31038.0
135.0	30731.0
136.0	30113.0
137.0	30277.0
138.0	29535.0
139.0	28810.0
140.0	29295.0
141.0	28236.0
142.0	28710.0
143.0	28393.0
144.0	28156.0
145.0	27574.0
146.0	27007.0
147.0	27226.0
148.0	27091.0
149.0	26533.0
150.0	26332.0
151.0	25568.0
152.0	25642.0
153.0	25193.0
154.0	24800.0
155.0	24932.0
156.0	24368.0
157.0	24220.0
158.0	23809.0
159.0	23606.0
160.0	23792.0
161.0	23107.0
162.0	22930.0
163.0	22456.0
164.0	22202.0
165.0	22417.0
166.0	21755.0
167.0	21646.0
168.0	21431.0
169.0	21188.0
170.0	20511.0
171.0	20744.0
172.0	20498.0
173.0	20031.0
174.0	20127.0
175.0	19429.0
176.0	19187.0
177.0	18923.0
178.0	18844.0
179.0	18487.0
180.0	18431.0
181.0	18027.0
182.0	17966.0
183.0	18087.0
184.0	17451.0
185.0	17132.0
186.0	17116.0
187.0	16802.0
188.0	16739.0
189.0	15963.0
190.0	16326.0
191.0	16126.0
192.0	15923.0
193.0	15592.0
194.0	15631.0
195.0	15518.0
196.0	14873.0
197.0	14824.0
198.0	14881.0
199.0	14589.0
200.0	14538.0
201.0	13957.0
202.0	14130.0
203.0	13649.0
204.0	13507.0
205.0	13415.0
206.0	13196.0
207.0	13408.0
208.0	13111.0
209.0	13040.0
210.0	12642.0
211.0	12568.0
212.0	12494.0
213.0	12241.0
214.0	12146.0
215.0	11917.0
216.0	11961.0
217.0	11598.0
218.0	11815.0
219.0	11450.0
220.0	11170.0
221.0	10851.0
222.0	11148.0
223.0	10850.0
224.0	10924.0
225.0	10517.0
226.0	10584.0
227.0	10340.0
228.0	10204.0
229.0	10007.0
230.0	9776.0
231.0	9824.0
232.0	9696.0
233.0	9479.0
234.0	9051.0
235.0	9201.0
236.0	8952.0
237.0	8800.0
238.0	9065.0
239.0	8671.0
240.0	8457.0
241.0	8291.0
242.0	8401.0
243.0	8162.0
244.0	7941.0
245.0	7931.0
246.0	8036.0
247.0	7796.0
248.0	7674.0
249.0	7718.0
250.0	7492.0
251.0	7471.0
252.0	7349.0
253.0	7180.0
254.0	7163.0
255.0	7026.0
256.0	7097.0
257.0	6613.0
258.0	6743.0
259.0	6483.0
260.0	6496.0
261.0	6302.0
262.0	6275.0
263.0	6080.0
264.0	6089.0
265.0	6074.0
266.0	5974.0
267.0	5822.0
268.0	5751.0
269.0	5370.0
270.0	5575.0
271.0	5674.0
272.0	5468.0
273.0	5459.0
274.0	5419.0
275.0	5314.0
276.0	5196.0
277.0	5121.0
278.0	4867.0
279.0	4922.0
280.0	4950.0
281.0	5013.0
282.0	4736.0
283.0	4762.0
284.0	4698.0
285.0	4659.0
286.0	4670.0
287.0	4449.0
288.0	4495.0
289.0	4384.0
290.0	4370.0
291.0	4281.0
292.0	4328.0
293.0	4232.0
294.0	4253.0
295.0	3988.0
296.0	4105.0
297.0	3890.0
298.0	4012.0
299.0	3973.0
300.0	3610.0
301.0	3630.0
302.0	3602.0
303.0	3652.0
304.0	3659.0
305.0	3355.0
306.0	3545.0
307.0	3409.0
308.0	3507.0
309.0	3381.0
310.0	3513.0
311.0	3408.0
312.0	3310.0
