#Duplication rate	Coverage
1.0	720394.0
2.0	537740.0
3.0	198482.0
4.0	220540.0
5.0	90605.0
6.0	109905.0
7.0	49593.0
8.0	60274.0
9.0	29835.0
10.0	35363.0
11.0	18867.0
12.0	21743.0
13.0	12578.0
14.0	14029.0
15.0	8476.0
16.0	9465.0
17.0	6137.0
18.0	6432.0
19.0	4405.0
20.0	4448.0
21.0	3171.0
22.0	3350.0
23.0	2401.0
24.0	2516.0
25.0	1813.0
26.0	1935.0
27.0	1445.0
28.0	1433.0
29.0	1160.0
30.0	1155.0
31.0	844.0
32.0	885.0
33.0	734.0
34.0	722.0
35.0	601.0
36.0	608.0
37.0	535.0
38.0	490.0
39.0	418.0
40.0	375.0
41.0	359.0
42.0	309.0
43.0	330.0
44.0	248.0
45.0	254.0
46.0	240.0
47.0	224.0
48.0	215.0
49.0	181.0
50.0	5209.0
