#Insert size (bp)	insert size
140.0	1.0
141.0	1.0
142.0	11.0
143.0	1.0
144.0	2.0
145.0	3.0
146.0	5.0
147.0	8.0
148.0	16.0
149.0	22.0
150.0	37.0
151.0	22537.0
152.0	44079.0
153.0	44712.0
154.0	44628.0
155.0	45613.0
156.0	45355.0
157.0	44768.0
158.0	44959.0
159.0	44853.0
160.0	44563.0
161.0	45006.0
162.0	43704.0
163.0	44166.0
164.0	44382.0
165.0	44625.0
166.0	45016.0
167.0	45109.0
168.0	44881.0
169.0	45029.0
170.0	44570.0
171.0	45061.0
172.0	44092.0
173.0	44461.0
174.0	43457.0
175.0	43805.0
176.0	44705.0
177.0	44664.0
178.0	45309.0
179.0	44809.0
180.0	45318.0
181.0	44270.0
182.0	44071.0
183.0	43417.0
184.0	43501.0
185.0	43601.0
186.0	43786.0
187.0	43814.0
188.0	44304.0
189.0	44057.0
190.0	44484.0
191.0	43745.0
192.0	43527.0
193.0	42528.0
194.0	41805.0
195.0	41905.0
196.0	41621.0
197.0	41910.0
198.0	42517.0
199.0	42067.0
200.0	42168.0
201.0	41918.0
202.0	41285.0
203.0	40191.0
204.0	39730.0
205.0	39027.0
206.0	38630.0
207.0	39090.0
208.0	39310.0
209.0	39237.0
210.0	38529.0
211.0	38534.0
212.0	38366.0
213.0	37258.0
214.0	36471.0
215.0	35662.0
216.0	34812.0
217.0	34438.0
218.0	33779.0
219.0	34768.0
220.0	34166.0
221.0	33798.0
222.0	33095.0
223.0	32637.0
224.0	31916.0
225.0	30637.0
226.0	29931.0
227.0	29718.0
228.0	29262.0
229.0	28855.0
230.0	28780.0
231.0	28233.0
232.0	27881.0
233.0	27169.0
234.0	26360.0
235.0	25854.0
236.0	25362.0
237.0	23938.0
238.0	23340.0
239.0	23520.0
240.0	23135.0
241.0	22685.0
242.0	21948.0
243.0	21609.0
244.0	21137.0
245.0	20547.0
246.0	19957.0
247.0	19127.0
248.0	18708.0
249.0	18125.0
250.0	17917.0
251.0	17128.0
252.0	16735.0
253.0	16760.0
254.0	15815.0
255.0	15555.0
256.0	14941.0
257.0	14471.0
258.0	14001.0
259.0	12946.0
260.0	12883.0
261.0	12191.0
262.0	12001.0
263.0	11532.0
264.0	10703.0
265.0	9827.0
266.0	8130.0
267.0	6660.0
268.0	5830.0
269.0	5508.0
270.0	5265.0
271.0	5030.0
272.0	4562.0
273.0	3881.0
274.0	3873.0
275.0	3851.0
276.0	3931.0
277.0	3774.0
278.0	3778.0
279.0	3722.0
280.0	3572.0
281.0	3644.0
282.0	3502.0
283.0	3363.0
284.0	3470.0
285.0	3323.0
286.0	3402.0
287.0	3240.0
288.0	3187.0
289.0	3242.0
290.0	3096.0
291.0	3074.0
292.0	3132.0
293.0	2981.0
294.0	3022.0
295.0	2883.0
296.0	2831.0
297.0	2898.0
298.0	2779.0
299.0	2774.0
300.0	2619.0
301.0	2626.0
302.0	2570.0
303.0	2664.0
304.0	2562.0
305.0	2472.0
306.0	2431.0
307.0	2366.0
308.0	2362.0
309.0	2441.0
310.0	2400.0
311.0	2273.0
312.0	2246.0
313.0	2349.0
314.0	2125.0
315.0	2246.0
316.0	2140.0
317.0	2108.0
318.0	2141.0
319.0	2062.0
320.0	2008.0
321.0	1990.0
322.0	1952.0
323.0	1971.0
324.0	1872.0
325.0	1915.0
326.0	1890.0
327.0	1970.0
328.0	1802.0
329.0	1786.0
330.0	1774.0
331.0	1850.0
332.0	1641.0
333.0	1758.0
334.0	1701.0
335.0	1732.0
336.0	1652.0
337.0	1554.0
338.0	1576.0
339.0	1491.0
340.0	1544.0
341.0	1471.0
342.0	1551.0
343.0	1494.0
344.0	1375.0
345.0	1446.0
346.0	1448.0
347.0	1448.0
348.0	1427.0
349.0	1354.0
350.0	1341.0
351.0	1458.0
352.0	1363.0
353.0	1317.0
354.0	1305.0
355.0	1295.0
356.0	1332.0
357.0	1313.0
358.0	1165.0
359.0	1201.0
360.0	1202.0
361.0	1177.0
362.0	1193.0
363.0	1214.0
364.0	1177.0
365.0	1124.0
366.0	1094.0
367.0	1111.0
368.0	1089.0
369.0	1099.0
370.0	1065.0
371.0	1022.0
372.0	1016.0
373.0	1021.0
374.0	978.0
375.0	972.0
376.0	1006.0
377.0	947.0
378.0	957.0
379.0	945.0
380.0	939.0
381.0	913.0
382.0	921.0
383.0	875.0
384.0	865.0
385.0	907.0
386.0	852.0
387.0	854.0
388.0	902.0
389.0	806.0
390.0	802.0
391.0	842.0
392.0	762.0
393.0	774.0
394.0	779.0
395.0	774.0
396.0	752.0
397.0	772.0
398.0	721.0
399.0	676.0
400.0	663.0
401.0	661.0
402.0	699.0
403.0	691.0
404.0	683.0
405.0	656.0
406.0	650.0
407.0	658.0
408.0	677.0
409.0	650.0
410.0	638.0
411.0	601.0
412.0	616.0
413.0	617.0
414.0	578.0
415.0	577.0
416.0	604.0
417.0	627.0
418.0	608.0
419.0	544.0
420.0	598.0
421.0	568.0
422.0	558.0
423.0	540.0
424.0	496.0
425.0	543.0
426.0	498.0
427.0	556.0
428.0	505.0
429.0	465.0
430.0	486.0
431.0	539.0
432.0	469.0
433.0	492.0
434.0	507.0
435.0	454.0
436.0	490.0
437.0	439.0
438.0	487.0
439.0	464.0
440.0	448.0
441.0	428.0
442.0	472.0
443.0	478.0
444.0	414.0
445.0	439.0
446.0	411.0
447.0	403.0
448.0	443.0
449.0	435.0
450.0	414.0
451.0	365.0
452.0	396.0
453.0	353.0
454.0	354.0
455.0	344.0
456.0	373.0
457.0	343.0
458.0	337.0
