#GC Content (%)	Sample
1.0	0.0
2.0	0.0
3.0	0.0
4.0	0.0
5.0	0.0
6.0	0.0
7.0	0.0
8.0	0.0
9.0	0.0
10.0	9.430643745172689E-7
11.0	0.0
12.0	1.8861287490345378E-6
13.0	9.430643745172689E-7
14.0	0.0
15.0	1.8861287490345378E-6
16.0	0.0
17.0	0.0
18.0	0.0
19.0	9.430643745172689E-7
20.0	9.430643745172689E-7
21.0	0.0
22.0	9.430643745172689E-7
23.0	9.430643745172689E-7
24.0	0.0
25.0	8.48757937065542E-6
26.0	9.430643745172689E-7
27.0	6.6014506216208825E-6
28.0	1.2259836868724495E-5
29.0	4.715321872586344E-6
30.0	5.658386247103613E-6
31.0	2.5462738111966266E-5
32.0	4.9039347474897985E-5
33.0	1.1128159619303774E-4
34.0	4.140052604130811E-4
35.0	0.001447603814884008
36.0	0.004517278353937718
37.0	0.01123283976487519
38.0	0.023062639278819814
39.0	0.039285232649265873
40.0	0.057275128657557295
41.0	0.07566205476752048
42.0	0.09014375130260767
43.0	0.0998063888839116
44.0	0.10297225598916607
45.0	0.09779577563744078
46.0	0.08870557813146883
47.0	0.07655702285893738
48.0	0.061712246539661036
49.0	0.04870078736444629
50.0	0.037647129830729376
51.0	0.03127390078774167
52.0	0.017513648499160202
53.0	0.012349427984303636
54.0	0.007663341107327327
55.0	0.004712492679462793
56.0	0.002885776986022843
57.0	0.0019115914871465042
58.0	0.0012401296524902088
59.0	8.261243920771276E-4
60.0	5.75269268455534E-4
61.0	5.035963759922217E-4
62.0	4.130621960385637E-4
63.0	2.895207629768016E-4
64.0	1.8578368177990198E-4
65.0	1.2165530431272769E-4
66.0	5.564079809651887E-5
67.0	5.3754669347484334E-5
68.0	2.9234995610035338E-5
69.0	3.677951060617349E-5
70.0	2.1690480613897188E-5
71.0	2.2633544988414455E-5
72.0	8.48757937065542E-6
73.0	1.1316772494207226E-5
74.0	1.1316772494207226E-5
75.0	1.2259836868724495E-5
76.0	7.544514996138151E-6
77.0	7.544514996138151E-6
78.0	5.658386247103614E-6
79.0	7.544514996138151E-6
80.0	9.430643745172689E-6
81.0	5.658386247103614E-6
82.0	4.715321872586345E-6
83.0	2.829193123551807E-6
84.0	2.829193123551807E-6
85.0	1.8861287490345378E-6
86.0	1.8861287490345378E-6
87.0	0.0
88.0	9.430643745172689E-7
89.0	1.8861287490345378E-6
90.0	9.430643745172689E-7
91.0	9.430643745172689E-7
92.0	1.8861287490345378E-6
93.0	0.0
94.0	1.8861287490345378E-6
95.0	0.0
96.0	0.0
97.0	2.829193123551807E-6
98.0	1.8861287490345378E-6
99.0	9.430643745172689E-7
100.0	2.8291931235518067E-5
