#Mapping quality	mapping quality
0.0	348443.0
1.0	104990.0
2.0	32838.0
3.0	22296.0
4.0	21203.0
5.0	18482.0
6.0	18130.0
7.0	18702.0
8.0	20928.0
9.0	26348.0
10.0	24862.0
11.0	27956.0
12.0	16581.0
13.0	14275.0
14.0	15536.0
15.0	14099.0
16.0	14233.0
17.0	14986.0
18.0	16004.0
19.0	16565.0
20.0	17010.0
21.0	18842.0
22.0	109629.0
23.0	36720.0
24.0	68986.0
25.0	56244.0
26.0	76206.0
27.0	67326.0
28.0	113021.0
29.0	127619.0
30.0	128895.0
31.0	133425.0
32.0	175937.0
33.0	238455.0
34.0	277069.0
35.0	319860.0
36.0	481737.0
37.0	567550.0
38.0	785880.0
39.0	1022065.0
40.0	1392674.0
41.0	1657069.0
42.0	1502619.0
43.0	581396.0
44.0	768769.0
