#Duplication rate	Coverage
1.0	733086.0
2.0	959370.0
3.0	228953.0
4.0	366160.0
5.0	111199.0
6.0	172563.0
7.0	62687.0
8.0	92692.0
9.0	38687.0
10.0	54483.0
11.0	25331.0
12.0	33917.0
13.0	17069.0
14.0	22543.0
15.0	11690.0
16.0	14922.0
17.0	8656.0
18.0	10769.0
19.0	6318.0
20.0	7573.0
21.0	4835.0
22.0	5625.0
23.0	3638.0
24.0	4237.0
25.0	2792.0
26.0	3263.0
27.0	2168.0
28.0	2569.0
29.0	1737.0
30.0	1910.0
31.0	1419.0
32.0	1511.0
33.0	1175.0
34.0	1248.0
35.0	935.0
36.0	1032.0
37.0	761.0
38.0	821.0
39.0	596.0
40.0	715.0
41.0	539.0
42.0	566.0
43.0	449.0
44.0	502.0
45.0	374.0
46.0	438.0
47.0	323.0
48.0	313.0
49.0	301.0
50.0	7305.0
