#Insert size (bp)	insert size
141.0	1.0
142.0	4.0
143.0	2.0
144.0	2.0
145.0	4.0
146.0	5.0
147.0	4.0
148.0	7.0
149.0	11.0
150.0	36.0
151.0	15704.0
152.0	30939.0
153.0	31107.0
154.0	31503.0
155.0	31208.0
156.0	31732.0
157.0	31284.0
158.0	31556.0
159.0	31618.0
160.0	31028.0
161.0	31348.0
162.0	30992.0
163.0	31527.0
164.0	31529.0
165.0	31702.0
166.0	32257.0
167.0	32476.0
168.0	33010.0
169.0	32810.0
170.0	32735.0
171.0	33110.0
172.0	32255.0
173.0	32778.0
174.0	33187.0
175.0	33070.0
176.0	34159.0
177.0	34021.0
178.0	34773.0
179.0	34750.0
180.0	35589.0
181.0	35242.0
182.0	35402.0
183.0	35197.0
184.0	35659.0
185.0	35948.0
186.0	36794.0
187.0	36786.0
188.0	37736.0
189.0	38207.0
190.0	38865.0
191.0	38704.0
192.0	39303.0
193.0	39564.0
194.0	39227.0
195.0	40089.0
196.0	40872.0
197.0	40727.0
198.0	42267.0
199.0	41930.0
200.0	42976.0
201.0	44035.0
202.0	43719.0
203.0	44283.0
204.0	43791.0
205.0	44188.0
206.0	44468.0
207.0	45574.0
208.0	46682.0
209.0	48172.0
210.0	48701.0
211.0	49527.0
212.0	49990.0
213.0	50395.0
214.0	50340.0
215.0	50198.0
216.0	49983.0
217.0	51281.0
218.0	52137.0
219.0	54697.0
220.0	55505.0
221.0	55965.0
222.0	56937.0
223.0	57057.0
224.0	57188.0
225.0	56761.0
226.0	56833.0
227.0	57834.0
228.0	58739.0
229.0	60485.0
230.0	62440.0
231.0	64257.0
232.0	64710.0
233.0	65269.0
234.0	65218.0
235.0	64998.0
236.0	64091.0
237.0	64754.0
238.0	65517.0
239.0	67467.0
240.0	68995.0
241.0	71317.0
242.0	71998.0
243.0	73451.0
244.0	73888.0
245.0	73898.0
246.0	73239.0
247.0	72595.0
248.0	72561.0
249.0	74018.0
250.0	76214.0
251.0	78640.0
252.0	81754.0
253.0	82213.0
254.0	82368.0
255.0	82014.0
256.0	80671.0
257.0	80150.0
258.0	79300.0
259.0	78632.0
260.0	79253.0
261.0	80271.0
262.0	82488.0
263.0	83576.0
264.0	79691.0
265.0	70077.0
266.0	49755.0
267.0	31478.0
268.0	23001.0
269.0	21309.0
270.0	20307.0
271.0	18915.0
272.0	14376.0
273.0	2004.0
274.0	1810.0
275.0	1735.0
276.0	1720.0
277.0	1710.0
278.0	1738.0
279.0	1699.0
280.0	1716.0
281.0	1660.0
282.0	1616.0
283.0	1585.0
284.0	1535.0
285.0	1398.0
286.0	1523.0
287.0	1398.0
288.0	1480.0
289.0	1460.0
290.0	1344.0
291.0	1375.0
292.0	1356.0
293.0	1302.0
294.0	1252.0
295.0	1263.0
296.0	1218.0
297.0	1293.0
298.0	1214.0
299.0	1211.0
300.0	1151.0
301.0	1117.0
302.0	1092.0
303.0	1143.0
304.0	1116.0
305.0	1040.0
306.0	1075.0
307.0	1086.0
308.0	1059.0
309.0	1109.0
310.0	955.0
311.0	970.0
312.0	957.0
313.0	979.0
314.0	973.0
315.0	910.0
316.0	925.0
317.0	881.0
318.0	841.0
319.0	873.0
320.0	868.0
321.0	840.0
322.0	836.0
323.0	830.0
324.0	775.0
325.0	817.0
326.0	694.0
327.0	813.0
328.0	738.0
329.0	688.0
330.0	731.0
331.0	697.0
332.0	694.0
333.0	700.0
334.0	634.0
335.0	673.0
336.0	684.0
337.0	694.0
338.0	639.0
339.0	647.0
340.0	604.0
341.0	568.0
342.0	551.0
343.0	602.0
344.0	556.0
345.0	601.0
346.0	584.0
347.0	560.0
348.0	520.0
349.0	531.0
350.0	544.0
351.0	578.0
352.0	516.0
353.0	508.0
354.0	456.0
355.0	489.0
356.0	427.0
357.0	489.0
358.0	441.0
359.0	462.0
360.0	454.0
361.0	467.0
362.0	427.0
363.0	475.0
364.0	438.0
365.0	413.0
366.0	396.0
367.0	379.0
368.0	433.0
369.0	388.0
370.0	390.0
371.0	349.0
372.0	371.0
373.0	367.0
374.0	373.0
375.0	365.0
376.0	350.0
377.0	324.0
378.0	359.0
379.0	311.0
380.0	297.0
381.0	328.0
382.0	329.0
383.0	323.0
384.0	313.0
385.0	284.0
386.0	318.0
387.0	283.0
388.0	303.0
389.0	308.0
390.0	282.0
391.0	280.0
392.0	269.0
393.0	271.0
394.0	274.0
395.0	268.0
396.0	259.0
397.0	237.0
398.0	284.0
399.0	220.0
400.0	226.0
401.0	239.0
402.0	241.0
403.0	241.0
404.0	217.0
405.0	243.0
406.0	234.0
407.0	209.0
408.0	195.0
409.0	175.0
410.0	184.0
411.0	212.0
412.0	208.0
413.0	235.0
414.0	182.0
415.0	188.0
416.0	206.0
417.0	179.0
418.0	187.0
419.0	207.0
420.0	192.0
421.0	170.0
422.0	171.0
423.0	162.0
424.0	151.0
425.0	168.0
426.0	175.0
427.0	159.0
428.0	152.0
429.0	156.0
430.0	127.0
431.0	136.0
432.0	141.0
433.0	166.0
434.0	128.0
435.0	148.0
436.0	143.0
437.0	127.0
438.0	138.0
439.0	150.0
440.0	154.0
441.0	165.0
442.0	151.0
443.0	91.0
444.0	108.0
445.0	139.0
446.0	157.0
447.0	123.0
448.0	133.0
449.0	108.0
450.0	110.0
451.0	124.0
452.0	115.0
453.0	113.0
454.0	109.0
455.0	116.0
456.0	113.0
457.0	100.0
458.0	106.0
459.0	95.0
460.0	104.0
461.0	115.0
462.0	104.0
463.0	93.0
464.0	108.0
465.0	94.0
466.0	96.0
467.0	88.0
468.0	92.0
469.0	103.0
470.0	97.0
471.0	75.0
472.0	92.0
473.0	92.0
474.0	100.0
475.0	98.0
476.0	101.0
477.0	76.0
478.0	61.0
479.0	65.0
480.0	58.0
481.0	97.0
482.0	62.0
483.0	84.0
484.0	68.0
485.0	79.0
486.0	80.0
487.0	81.0
488.0	66.0
489.0	80.0
490.0	55.0
491.0	65.0
492.0	59.0
493.0	61.0
494.0	76.0
495.0	73.0
496.0	68.0
497.0	70.0
498.0	69.0
499.0	62.0
500.0	42.0
