#Mapping quality	mapping quality
0.0	435653.0
1.0	68649.0
2.0	35550.0
3.0	27244.0
4.0	23697.0
5.0	24673.0
6.0	27924.0
7.0	28000.0
8.0	27039.0
9.0	24012.0
10.0	20346.0
11.0	21011.0
12.0	16683.0
13.0	16014.0
14.0	16294.0
15.0	16530.0
16.0	16527.0
17.0	16819.0
18.0	16353.0
19.0	16402.0
20.0	15118.0
21.0	16053.0
22.0	423370.0
23.0	169478.0
24.0	241954.0
25.0	247189.0
26.0	304385.0
27.0	325207.0
28.0	416448.0
29.0	510304.0
30.0	559193.0
31.0	632295.0
32.0	746971.0
33.0	863359.0
34.0	925848.0
35.0	950471.0
36.0	970695.0
37.0	805763.0
38.0	599780.0
39.0	345910.0
40.0	169091.0
41.0	75954.0
42.0	59341.0
43.0	24855.0
44.0	262748.0
