#Duplication rate	Coverage
1.0	1642026.0
2.0	992391.0
3.0	593968.0
4.0	439752.0
5.0	293208.0
6.0	232199.0
7.0	165210.0
8.0	135063.0
9.0	101808.0
10.0	84152.0
11.0	65944.0
12.0	54710.0
13.0	43979.0
14.0	37028.0
15.0	29908.0
16.0	25740.0
17.0	21349.0
18.0	18079.0
19.0	15629.0
20.0	13447.0
21.0	11520.0
22.0	9744.0
23.0	8681.0
24.0	7299.0
25.0	6436.0
26.0	5600.0
27.0	5107.0
28.0	4448.0
29.0	3809.0
30.0	3583.0
31.0	3030.0
32.0	2762.0
33.0	2380.0
34.0	2141.0
35.0	2029.0
36.0	1761.0
37.0	1639.0
38.0	1437.0
39.0	1341.0
40.0	1213.0
41.0	1145.0
42.0	1039.0
43.0	891.0
44.0	895.0
45.0	794.0
46.0	752.0
47.0	708.0
48.0	650.0
49.0	582.0
50.0	18385.0
