#Insert size (bp)	insert size
260.0	1.0
270.0	1.0
272.0	4.0
274.0	1.0
277.0	2.0
278.0	1.0
280.0	4.0
282.0	2.0
284.0	2.0
285.0	2.0
286.0	1.0
287.0	1.0
289.0	11.0
291.0	3.0
292.0	11.0
293.0	19.0
294.0	18.0
295.0	32.0
296.0	38.0
297.0	63.0
298.0	118.0
299.0	376.0
300.0	32392.0
301.0	63208.0
302.0	63960.0
303.0	63731.0
304.0	64639.0
305.0	63793.0
306.0	64310.0
307.0	64217.0
308.0	63623.0
309.0	63218.0
310.0	63118.0
311.0	63563.0
312.0	62891.0
313.0	63891.0
314.0	62766.0
315.0	63735.0
316.0	64199.0
317.0	64113.0
318.0	63820.0
319.0	62644.0
320.0	61688.0
321.0	63419.0
322.0	62815.0
323.0	62010.0
324.0	61966.0
325.0	62846.0
326.0	62236.0
327.0	63146.0
328.0	62682.0
329.0	62007.0
330.0	61974.0
331.0	61466.0
332.0	61018.0
333.0	60970.0
334.0	60185.0
335.0	61065.0
336.0	61461.0
337.0	60836.0
338.0	60573.0
339.0	60857.0
340.0	60162.0
341.0	60008.0
342.0	59640.0
343.0	58719.0
344.0	58599.0
345.0	58664.0
346.0	59190.0
347.0	60395.0
348.0	59984.0
349.0	59318.0
350.0	59707.0
351.0	58614.0
352.0	58196.0
353.0	56272.0
354.0	56393.0
355.0	57730.0
356.0	57420.0
357.0	57571.0
358.0	57665.0
359.0	57520.0
360.0	56211.0
361.0	56292.0
362.0	55293.0
363.0	54395.0
364.0	54215.0
365.0	53966.0
366.0	53720.0
367.0	54925.0
368.0	54317.0
369.0	55753.0
370.0	54498.0
371.0	54795.0
372.0	52723.0
373.0	52202.0
374.0	51879.0
375.0	50995.0
376.0	51051.0
377.0	51382.0
378.0	52121.0
379.0	52038.0
380.0	51505.0
381.0	52278.0
382.0	51259.0
383.0	50149.0
384.0	49274.0
385.0	48184.0
386.0	48580.0
387.0	48117.0
388.0	49081.0
389.0	49038.0
390.0	48812.0
391.0	49454.0
392.0	48475.0
393.0	47614.0
394.0	46601.0
395.0	45563.0
396.0	45234.0
397.0	45628.0
398.0	45725.0
399.0	46083.0
400.0	45819.0
401.0	46162.0
402.0	45849.0
403.0	46018.0
404.0	44368.0
405.0	42894.0
406.0	42598.0
407.0	42394.0
408.0	42630.0
409.0	43171.0
410.0	43536.0
411.0	43708.0
412.0	42490.0
413.0	43009.0
414.0	41346.0
415.0	40562.0
416.0	39724.0
417.0	39505.0
418.0	40458.0
419.0	39886.0
420.0	40624.0
421.0	40848.0
422.0	39541.0
423.0	40872.0
424.0	39433.0
425.0	38205.0
426.0	37238.0
427.0	36751.0
428.0	36504.0
429.0	36876.0
430.0	37099.0
431.0	37849.0
432.0	37884.0
433.0	37849.0
434.0	36797.0
435.0	35390.0
436.0	35285.0
437.0	34296.0
438.0	34529.0
439.0	34156.0
440.0	34197.0
441.0	34463.0
442.0	35166.0
443.0	34978.0
444.0	34464.0
445.0	33565.0
446.0	32600.0
447.0	31489.0
448.0	31461.0
449.0	31872.0
450.0	31999.0
451.0	32278.0
452.0	32359.0
453.0	32892.0
454.0	31978.0
455.0	31367.0
456.0	31038.0
457.0	29676.0
458.0	29323.0
459.0	29283.0
460.0	28826.0
461.0	29252.0
462.0	30275.0
463.0	30351.0
464.0	29810.0
465.0	29518.0
466.0	28879.0
467.0	28193.0
468.0	27263.0
469.0	26963.0
470.0	26883.0
471.0	27401.0
472.0	27608.0
473.0	27931.0
474.0	28206.0
475.0	27653.0
476.0	27003.0
477.0	25965.0
478.0	25590.0
479.0	24880.0
480.0	24740.0
481.0	25116.0
482.0	25283.0
483.0	26448.0
484.0	26351.0
485.0	25680.0
486.0	25499.0
487.0	24589.0
488.0	23567.0
489.0	23280.0
490.0	22660.0
491.0	22828.0
492.0	23289.0
493.0	23659.0
494.0	24117.0
495.0	24084.0
496.0	23611.0
497.0	22966.0
498.0	22354.0
499.0	21393.0
500.0	20896.0
501.0	21154.0
502.0	21218.0
503.0	21716.0
504.0	22092.0
505.0	22485.0
506.0	22467.0
507.0	21600.0
508.0	20912.0
509.0	20337.0
510.0	19560.0
511.0	19395.0
512.0	19274.0
513.0	20450.0
514.0	20232.0
515.0	21008.0
516.0	20412.0
517.0	20166.0
518.0	19626.0
519.0	18759.0
